isolate	pub_id	Seg-1	Seg-2	Seg-3	Seg-4	Seg-5	Seg-6	Seg-7	Seg-8	Seg-9	Seg-10	host	country	collection_year	collection_month	collection_month_day	sample_type	place_sampled	tissue_sampled	passage_history	passage_cells	clinical_symptoms		
80199	16283915		DQ191266									Ovis aries	Italy	2001			field	Magliano-Tuscany	blood	E?V?	Mammalian			
80273	16283915		DQ191267									Ovis aries	Italy	2001			field	Urzulei-Sardinia	spleen	E?V?	Mammalian			
80296	16283915		DQ191268									Ovis aries	Italy	2001			field	Cerveteri-Lazio	blood	E?V?	Mammalian			
80302	16283915		DQ191269									Ovis aries	Italy	2001			field	Montalto di Castro-Lazio	blood	E?V?	Mammalian			
81640	16283915		DQ191270									Ovis aries	Italy	2001			field	Messina-Sicily	blood	E?V?	Mammalian			
81641	16283915		DQ191271									Bos taurus	Italy	2001			field	Messina-Sicily	blood	E?V?	Mammalian			
82027	16283915		DQ191276									Bos taurus	Italy	2002			field	Sellia Marina-Calabria	spleen	E?V?	Mammalian			
87902	16283915		DQ191274									Culicoides	Italy	2002			field	S.Gregorio Magno-Campania	Culicoides sp.	E?V?	Mammalian			
90726	16283915		DQ191275									Culicoides	Italy	2002			field	Carpino-Puglia	Culicoides sp.	E?V?	Mammalian			
92069	16283915		DQ191281									Culicoides	Italy	2003			field	Villa S. Pietro-Sardinia	Culicoides imicola 	E?V?	Mammalian			
243277	16283915		DQ191259									Ovis aries	Israel	1999			field	Belt Dagan	blood	E?V?	Mammalian			
320226	16283915		DQ191278									Ovis aries	Israel	2001			field	Hatzav	blood	E?V?	Mammalian			
3222222	16283915		DQ191279									Ovis aries	Israel	2001			field	Nahala		E?V?	Mammalian			
1/BRA/2014/0069	28918235		MF045068									Ovis aries	Brazil	2014	JAN		field	Fazenda Vilanova, Rio Grande do Sul		KC2Vero2	Culicoides-Mammalian	yes		
1/BRA/2014/0106	28918235		MF045069									Ovis aries	Brazil	2014	FEB		field	Fazenda Vilanova, Rio Grande do Sul	spleen	KC2Vero2	Culicoides-Mammalian	yes		
1/ED/TN/INDIA	UP							FJ004985				Ovis aries	India	2006	NOV			Tamil Nadu						
10090Z	11483775		AY028211								AY028210	Ovis aries		1990			field	California	blood	E1PP3BHK2	Mammalian			
10353/03	UP										AY775155	Ovis aries	Italy				field		blood					
10500-3	16283915		DQ191262									Ovis aries	Italy	2000			field	Giardinello-Sicily	blood	E?V?	Mammalian			
10B80Y	8764098		U06780							U55778		Bos taurus	USA	1980			field	Tulare-California		?BHK?	Mammalian			
10B80Z	9712508										AF044379	Bos taurus	USA	1980			field	Kern-California		?BHK?	Mammalian			
10B81U	9712508										AF044381	Bos taurus	USA	1981			field	East Baton Rouge -Louisiana		?BHK?	Mammalian			
10B81X	9712508										AF044382	Bos taurus	USA	1981			field	Stanislaus-California		?BHK?	Mammalian			
10B90Z_Riverside	9712508										AF044384	Bos taurus	USA	1990			field	Riverside-California		?BHK?	Mammalian			
10B90Z_Fresno	8764098		U06781							U55779		Bos taurus	USA	1990			field	Fresno-California		?BHK?	Mammalian			
10FMI06-33	17719118										EF540935	Bos taurus	Martinique	2006			field		blood	E?BHK1	Mammalian			
10O80V	8764098		U06782							U55780		Ovis aries	USA	1980			field	Tehama-California		?BHK?	Mammalian			
10O80Z_Fresno	8764098		U06783							U55781		Ovis aries	USA	1980			field	Solano-California		?BHK?	Mammalian			
10O80Z_Riverside	9712508										AF044380	Ovis aries	USA	1980			field	Solano-California		?BHK?	Mammalian			
10O90B	UP		U06784									Ovis aries	USA	1990			field	California						
10O90H	9712508										AF044385	Ovis aries	USA	1990			field	Mendocino-California		?BHK?	Mammalian			
10O90H	8764098									U55782		Ovis aries	USA	1990			field	Mendocino-California		?BHK?	Mammalian			
10O90Z	8764098		U06785							U55783		Ovis aries	USA	1990			field	San Bernardino-California		?BHK?	Mammalian			
10US02-7	17719118										EF540915	Odocoileus virginianus	USA	2002			field	Virginia		CPAE3	Mammalian			
10US02-8	17719118										EF540916	Odocoileus virginianus	USA	2002			field	Georgia		CPAE3	Mammalian			
10US02-9	17719118										EF540917	Odocoileus virginianus	USA	2002			field	North Carolina		CPAE3	Mammalian			
10US03-25	17719118										EF540929	Ovis aries	USA	2003			field	Idaho		CPAE3	Mammalian			
10US94-1	17719118										EF540909	Odocoileus virginianus	USA	1994			field	Georgia		CPAE3	Mammalian			
10US98-3	17719118										EF540911		USA	1998			field	Wyoming		CPAE3	Mammalian			
11B09	20557494										GU954425	Bos taurus	USA	2009			field	California	blood	BHK?	Mammalian			
11B80Z	9712508										AF044702	Bos taurus	USA	1980			field	Kern-California		?BHK?	Mammalian			
11B81P	9712508										AF044383	Bos taurus	USA	1981			field	Kern-California		?BHK?	Mammalian			
11C81Z	9712508										AF044703	Capra aegagrus hircus	USA	1981			field	Kern-California		?BHK?	Mammalian			
11C81Z	8764098									U55785		Capra aegagrus hircus	USA	1981			field	Kern-California		?BHK?	Mammalian			
11M1	8393245				L08638																			
11O79X	9712508										AF044386	Ovis aries	USA	1979			field	Pershing-Nebraska		?BHK?	Mammalian			
11O81X	9712508										AF044704	Ovis aries	USA	1981			field	Kern-California		?BHK?	Mammalian			
11O81Z	8764098									U55784		Ovis aries	USA	1981			field	Kern-California		?BHK?	Mammalian			
11UC2	8764098									U55786		Bos taurus	USA	1981			field	Kern-California		?BHK?	Mammalian			
11UC8	8764098									U55787		Odocoileus virginianus	USA	1981			field	Kern-California		?BHK?	Mammalian			
12217/00	UP					DQ017959					AY775161	Ovis aries	Italy	2000			field	Calabria	blood					
13B80Z	9712508										AF044711	Bos taurus	USA	1980			field	Wilder-Idaho		?BHK?	Mammalian			
13B81K	9712508										AF044712	Bos taurus	USA	1981			field	Stanislaus-California		?BHK?	Mammalian			
13B81V	8764098									U55788		Bos taurus	USA	1981			field	Riverside-California		?BHK?	Mammalian			
13B81X	8764098									U55789		Bos taurus	USA	1981			field	Riverside-California		?BHK?	Mammalian			
13B89Y	8764098									U55790		Bos taurus	USA	1989			field	Stanislaus-California		?BHK?	Mammalian			
13B89Z_Fresno	8764098									U55791		Bos taurus	USA	1989			field	Fresno-California		?BHK?	Mammalian			
13B89Z_Riverside	9712508										AF044710	Bos taurus	USA	1989			field	Riverside-California		?BHK?	Mammalian			
13M1	8393245				L08640																			
13O79Z	9712508										AF044713	Ovis aries	USA	1979			field	Ada-Idaho		?BHK?	Mammalian			
13US03-23	17719118										EF540927	Ovis aries	USA	2003			field	Idaho		CPAE3	Mammalian			
13US99-4	17719118										EF540912	Odocoileus virginianus	USA	1999			field	North Carolina		CPAE3	Mammalian			
14643-2808	16283915		DQ191261									Ovis aries	Italy	2001			field	Castiadas-Sardinia	blood	E?V?	Mammalian			
14808-249	16283915		DQ191264									Ovis aries	Italy	2001			field	Aprilia-Lazio	blood	E?V?	Mammalian			
17/BRA/2014/0106	28918235		MF045073									Ovis aries	Brazil	2014	FEB		field	Fazenda Vilanova, Rio Grande do Sul	spleen	KC2Vero2	Culicoides-Mammalian	yes		
17/BRA/2014/551	28918235		MF045074									Ovis aries	Brazil	2014	APR		field	Cachoeira do Sul, Rio Grande do Sul	blood	KC1Vero2	Culicoides-Mammalian	yes		
17/BRA/2014/73	27789637	KX599359	KX599360	KX599361	KX599362	KX599363	KX599364	KX599365	KX599366	KX599367	KX599368	Ovis aries	Brazil	2014	MAY	7	field	Cachoeira do Sul, Rio Grande do Sul	blood	KC3BHK1	Culicoides-Mammalian	yes		
17B80Z	9712508										AF044705	Bos taurus	USA	1980			field	San Bernadino-California		?BHK?	Mammalian			
17B81	8165870		S72158									Bos taurus	USA	1981			field	Fresno-San Joaquin Valley-California		BHK? 	Mammalian			
17B81Y	9712508										AF044707	Bos taurus	USA	1981			field	Kern-California		?BHK?	Mammalian			
17B90Z_Fresno	8764098									U55792		Bos taurus	USA	1990			field	Fresno-California		?BHK?	Mammalian			
17B90Z_Riverside	9712508										AF044708	Bos taurus	USA	1990			field	Riverside-California		?BHK?	Mammalian			
17C81W	8764098									U55793		Capra aegagrus hircus	USA	1981			field	Kern-California		?BHK?	Mammalian			
17FMI06-34	17719118										EF540936	Bos taurus	Martinique	2006			field		blood	E?BHK1	Mammalian			
17M1	8393245				L08639																			
17O79Y	9712508										AF044706	Ovis aries	USA	1979			field	Merced-California		?BHK?	Mammalian			
17O81Y	8764098									U55794		Ovis aries	USA	1981			field	Kern-California		?BHK?	Mammalian			
17O90X	8764098									U55795		Ovis aries	USA	1990			field	Kern-California		?BHK?	Mammalian			
17O90Y	9712508										AF044709	Ovis aries	USA	1990			field	Linden-California		?BHK?	Mammalian			
17US00-5	17719118										EF540913		USA	2000			field	North Carolina		CPAE3	Mammalian			
17US00-6	17719118										EF540914	Odocoileus virginianus	USA	2000			field	Kansas		CPAE3	Mammalian			
17US03-10	17719118										EF540918	Odocoileus virginianus	USA	2003			field	Kansas		CPAE3	Mammalian			
17US03-12	17719118										EF540919	Odocoileus virginianus	USA	2003			field	Texas		CPAE3	Mammalian			
17US03-13	17719118										EF540920	Ovis aries	USA	2003			field	Idaho		CPAE3	Mammalian			
17US03-14	17719118										EF540921	Ovis aries	USA	2003			field	Idaho		CPAE3	Mammalian			
17US03-15	17719118										EF540922	Ovis aries	USA	2003			field	Idaho		CPAE3	Mammalian			
17US03-16	17719118										EF540923	Ovis aries	USA	2003			field	Idaho		CPAE3	Mammalian			
17US03-17	17719118										EF540924	Ovis aries	USA	2003			field	Idaho		CPAE3	Mammalian			
17US03-20	17719118										EF540925	Bos taurus	USA	2003			field	Idaho		CPAE3	Mammalian			
17US03-21	17719118										EF540926	Bos taurus	USA	2003			field	Idaho		CPAE3	Mammalian			
17US03-24	17719118										EF540928	Odocoileus virginianus	USA	2003			field	Washington		CPAE3	Mammalian			
17US03-28	17719118										EF540931	Odocoileus virginianus	USA	2003			field	Idaho		CPAE3	Mammalian			
17US04-27	17719118										EF540930	Odocoileus hemionus	USA	2004			field	Idaho		CPAE3	Mammalian			
17US04-29	17719118										EF540932	Odocoileus virginianus	USA	2004			field	Idaho		CPAE3	Mammalian			
17US04-30	17719118										EF540933	Odocoileus virginianus	USA	2004			field	Texas		CPAE3	Mammalian			
17US98-2	17719118										EF540910	Bos taurus	USA	1998			field	Missouri		CPAE3	Mammalian			
1861/15	27171751	KU710719											Israel	2015	SEP	1	field		blood					
1SA	2848383						M36713						South Africa											
2/SLM/TN/INDIA	UP							FJ004986				Ovis aries	India	2005	DEC			Tamil Nadu	blood					
2010-21	29169390	KY485072	MF384475	MF384537	MF384599	MF384661	MF384723	MF384785	MF384847	MF384908	MF384983	Bos taurus	Australia	2010			field	Queensland	blood			No		
2010-26	29169390	KY485073	MF384476	MF384538	MF384600	MF384662	MF384724	MF384786	MF384848	MF384909	MF384984	Bos taurus	Australia	2010			field	Queensland	blood			No		
2010-90	29169390	KY485071	MF384474	MF384536	MF384598	MF384660	MF384722	MF384784	MF384846	MF384907	MF384985	Bos taurus	Australia	2010			field	Queensland	blood			No		
2011-11	29169390	KY485067	MF384470	MF384532	MF384594	MF384656	MF384718	MF384780	MF384842	MF384903	MF384980	Bos taurus	Australia	2011			field	Queensland	blood			No		
2011-3	29169390	KY485060	MF384463	MF384525	MF384587	MF384649	MF384711	MF384773	MF384835	MF384896	MF384979	Bos taurus	Australia	2011			field	Queensland	blood			No		
2012-12	29169390	KY485047	MF384450	MF384512	MF384574	MF384636	MF384698	MF384760	MF384822	MF384884	MF384981	Bos taurus	Australia	2012			field	Queensland	blood			No		
2012-26	29169390	KY485051	MF384454	MF384516	MF384578	MF384640	MF384702	MF384764	MF384826	MF384888	MF384991	Bos taurus	Australia	2012			field	Queensland	blood			No		
2012-29	29169390	KY485052	MF384455	MF384517	MF384579	MF384641	MF384703	MF384765	MF384827	MF384889	MF384982	Bos taurus	Australia	2012			field	Queensland	blood			No		
2012-31	29169390	KY485081	MF384484	MF384546	MF384608	MF384670	MF384732	MF384794	MF384856	MF384916	MF384998	Bos taurus	Australia	2012			field	Queensland	blood			No		
2012-33	29169390	KY485084	MF384487	MF384549	MF384611	MF384673	MF384735	MF384797	MF384859	MF384919	MF384988	Bos taurus	Australia	2012			field	Queensland	blood			No		
2012-38	29169390	KY485076	MF384479	MF384541	MF384603	MF384665	MF384727	MF384789	MF384851	MF384937	MF384986	Bos taurus	Australia	2012			field	Queensland	blood			No		
2012-44	29169390	KY485085	MF384488	MF384550	MF384612	MF384674	MF384736	MF384798	MF384860	MF384920	MF384989	Bos taurus	Australia	2012			field	Queensland	blood			No		
240 (BTV17 240 Guat)	10867193							AF188664					Guatemala				field			E1BHK6	Mammalian			
243277	UP										AY775163		Israel				field							
25-2	UP	JX272429	JX272430	JX272431	JX272432	JX272433	JX272434	JX272435	JX272436	JX272437	JX272438		South Africa											
285 (BTV17 285 PR)	10867193							AF188665					Puerto Rico				field			E1BHK6	Mammalian			
296 (BTV17 296 PR)	10867193							AF188650					Puerto Rico				field			E1BHK6	Mammalian			
2FMI06-32	17719118										EF540934	Bos taurus	Martinique	2006			field		blood	E?BHK1	Mammalian			
2M1	8393245				L08637																			
3/TCD/TN/INDIA	UP							FJ004987				Ovis aries	India	2006	DEC			Tamil Nadu						
300 (BTV17 300 PR)	10867193							AF188666					Puerto Rico				field			E1BHK6	Mammalian			
320226	UP										AY775158		Israel				field							
322222	UP										AY775157		Israel				field							
4/ARG/2001/102	23152367		JX024945	JX024946			JX024947	JX024948			JX024949	Bos taurus	Argentina	1999	DEC	1	field	Corrientes	blood	BHK3	Mammalian			
4/ARG/2001/829	23152367		JX024950	JX024951			JX024952	JX024953			JX024954	Bos taurus	Argentina	1999	DEC	1	field	Corrientes	blood	BHK3	Mammalian			
4/ARG/2001/99	23152367		JX024940	JX024941			JX024942	JX024943			JX024944	Bos taurus	Argentina	1999	DEC	1	field	Corrientes	blood	BHK3	Mammalian			
4/ARG/2009	23152367		JX024955	JX024956			JX024957	JX024958			JX024959	Bos taurus	Argentina	2009	AUG	1	field	Corrientes	blood	CRL1660 2BHK3	Aedes albopictus-Mammalian			
4/ARG/2010	23152367		JX024960	JX024961			JX024962	JX024963			JX024964	Bos taurus	Argentina	2010	SEP	1	field	Corrientes	blood	CRL1660 2BHK3	Aedes albopictus-Mammalian			
4/BRA/2014/0069	28918235		MF045071									Ovis aries	Brazil	2014	JAN		field	Fazenda Vilanova, Rio Grande do Sul	spleen	KC2Vero2	Culicoides-Mammalian	yes		
4/BRA/2014/0106	28918235		MF045072									Ovis aries	Brazil	2014	FEB		field	Fazenda Vilanova, Rio Grande do Sul	spleen	KC2Vero2	Culicoides-Mammalian	yes		
4/BRA/2014/627	28918235		MF045070									Ovis aries	Brazil	2014	APR		field	Cachoeira do Sul, Rio Grande do Sul	blood	KC1Vero2	Culicoides-Mammalian	yes		
4575/vaccine	12604809										AF512922		South Africa	1944			vaccine	Beaufort West-Western Cape						
4913/02	UP										AY775153	Culicoides	Italy				field		Culicoides obsoletus					
5011-60E-PP	20428242	GQ506506	GQ506507	GQ506508	GQ506509	GQ506510	GQ506511	GQ506512	GQ506513	GQ506514	GQ506515	Ovis aries	South Africa	1958			vaccine	Natal		E60PP3BHK7	Mammalian			
5011-60E-Strathene	20428242	GQ506526	GQ506527	GQ506528	GQ506529	GQ506530	GQ506531	GQ506532	GQ506533	GQ506534	GQ506535	Ovis aries	South Africa	1958			vaccine	Natal		E60BHK7	Mammalian			
5012/vaccine	12604809										AF512910		South Africa	1958			vaccine	Vryheid-KwaZulu-Natal						
502016 (BTV12 2016 Jama)	10867193							AF188673					Jamaica				field			E2BHK5	Mammalian			
502030 (BTV3 2030 Jama)	10867193							AF188648					Jamaica				field			E1BHK3	Mammalian			
502034(BTV3 2034 Barb)	10867193							AF188644					Barbados				field			E1BHK3	Mammalian			
502045(BTV3 2045 Toba)	10867193							AF188652					Trinidad and Tobago				field	Tobago		E1BHK6	Mammalian			
502058 (BTV3 2058 CR) 	10867193							AF188651					Costa Rica				field			E1BHK3	Mammalian			
502131(BTV3 2131 Jama)	10867193							AF188661					Jamaica				field			E1BHK6	Mammalian			
502152(BTV3 2152 Pana)	10867193							AF188656					Panama				field			E1BHK3	Mammalian			
502154(BTV3 2154 Hond)	10867193							AF188646					Honduras				field			E1BHK3	Mammalian			
502165(BTV3 2165 Trin)	10867193							AF188647					Trinidad and Tobago				field	Trinidad		E1BHK3	Mammalian			
502168 (BTV3 2168 Pana)	10867193							AF188657					Panama				field			E1BHK3	Mammalian			
502172(BTV1 2172 Hond)	10867193							AF188670					Honduras				field			E1BHK4	Mammalian			
502187 (BTV6 2187 Hond)	10867193							AF188653					Honduras				field			E1BHK3	Mammalian			
502215 (BTV8 2215 DR)	10867193							AF188671					Dominican Republic				field			E1BHK3	Mammalian			
502227 (BTV4 2227 DR)	10867193							AF188667					Dominican Republic				field			E1BHK3	Mammalian			
502230 (BTV3 2230 Guat)	10867193							AF188659					Guatemala				field			E1BHK3	Mammalian			
502233 (BTV6 2233 Hond)	10867193							AF188662					Honduras				field			E1BHK3	Mammalian			
502270 (BTV3 2270 ES)	10867193							AF188645					El Salvador				field			E1BHK4	Mammalian			
502343(BTV3 2343 Pana) 	10867193							AF188658					Panama				field			E1BHK3	Mammalian			
502350 (BTV3 2350 Guat)	10867193							AF188663					Guatemala				field			E1BHK3	Mammalian			
502354 (BTV3 2354 CR)	10867193							AF188655					Costa Rica				field			E1BHK3	Mammalian			
502364 (BTV3 2364 Pana)	10867193							AF188654					Panama				field			E1BHK4	Mammalian			
5149E	29392498	MG206077	MG206078	MG206079	MG206080	MG206081	MG206082	MG206083	MG206084	MG206085	MG206086	Bos taurus	China	2015	OCT		field	Longan county of Guangxi Province	blood	E1C6/36 1BHK5	Mammalian	No		
5268/5	UP	JX272399	JX272400	JX272401	JX272402	JX272403	JX272404	JX272405	JX272406	JX272407	JX272408		South Africa											
5319A07	UP									DQ289047			Australia				field							
557 SA	15946757		AY855264		AY855270		AY855276		AY855285				South Africa	1959			field			?BHK?	Mammalian			
600557(BTV2 557 SA)	10867193							AF188672					South Africa											
600558(BTV1 558 SA )	10867193							AF188669					South Africa				field			E2BHK5	Mammalian			
600565 (BTV3 565 SA)	10867193							AF188649					South Africa				field			E1BHK7	Mammalian			
600566 (BTV4 566 SA)	10867193							AF188668					South Africa				field			E1BHK7	Mammalian			
62-45S	11682128									AF403418														
6409/02	UP										AY775154	Culicoides	Italy				field		Culicoides obsoletus					
79043/vaccine	12604809										AF512908		South Africa	1900			vaccine	Batoh-Western Cape						
7bp	UP		GU931316									Ovis aries	India		JUN		field			BHK?	Mammalian			
8054/02	UP					DQ017960					AY775162	Bos taurus	Italy	2002			field	Puglia	blood					
81640_01	UP										AY823221		Italy	2001			field	Sicily						
81641_01	UP										AY823222		Italy	2001			field	Sicily						
8231/vaccine	12604809										AF512918		Cyprus	1944			vaccine							
8341/00	UP					DQ017956						Ovis aries	Italy	2000			field	Sardinia	spleen					
84/184	UP	JX272389	JX272390	JX272391	JX272392	JX272393	JX272394	JX272395	JX272396	JX272397	JX272398		South Africa											
8438/vaccine	12604809										AF512919		South Africa	1937			vaccine	Onderstepoort						
870/10	UP			KM365265								Bos taurus	Israel	2011	JAN	20	field		blood					
9034/03	UP										AY775156	Culicoides	Italy				field		Culicoides imicola					
93036/03	UP					DQ017958						Ovis aries	Italy	2003			field	Sardinia	blood					
ABT1/HSR/IND	UP		JQ037808									Ovis aries	India				field		blood					
ABT2/HSR/IND	UP		JN106024									Ovis aries	India		SEP		field	West Godawari-Andhra Pradesh	blood					
Afandou/1998	16283915		DQ191283									Ovis aries	Greece	1998			field	Rhodes		E?V?	Mammalian			
AH5230	UP									DQ289045			Australia				field							
Aler-02/2013	29120083		KY947346									Ovis aries	India	2013	AUT		field	Telangana	blood	KC?BHK?	Culicoides-Mammalian	yes		
ALG2006/01	26252219	KP820875	KP820995	KP821117	KP821237	KP821357	KP821477	KP821599	KP821719	KP821840	KP821960	Ovis aries	Algeria	2006	AUG		field	Berrouaghia-Media	spleen	E1BHK2	Mammalian			
ALG2006/01	18570969		EU625361				EU422952					Ovis aries	Algeria	2006	AUG		field	Berrouaghia-Media	spleen	E1BHK2	Mammalian			
ALG2006/04	26252219	KP820876	KP820996	KP821118	KP821238	KP821358	KP821478	KP821600	KP821720	KP821841	KP821961	Ovis aries	Algeria	2006	AUG	24	field	Berrouaghia-Media	blood	KC3	Culicoides sp.			
ALG2008/10	26252219	KP820877	KP820997	KP821119	KP821239	KP821359	KP821479	KP821601	KP821721	KP821842	KP821962	Ovis aries	Algeria	2008	NOV	2	field	Laghouat-Dakhla	blood	KC1BHK1	Culicoides-Mammalian			
Andhra Pradesh	UP							JN006965				Ovis aries	India				field							
Ardennes	25307940		KJ872780				KJ872781				KJ872782		France	2006			field	Ardennes						
ARG2002/01	20422575, 18570969	EF059722	AJ585169				AJ586682			EU220291		Bos taurus	Argentina	2002	FEB	21	field	Corrientes-Santo Tome	blood	?E2V2BHK2	Mammalian			
ASOT	16566253					DQ098096							Cyprus				reference							
ATCC BLU-17	9612723		AF017278	AF017280										1962			field	Colorado						
AUS????/01	20422575, 18570969		AJ585120										Australia				field							
AUS1981/01	20422575		AJ585178				AJ631214						Australia	1981			field							
AUS1985/01	19649272			DQ186790								Bos taurus	Australia	1985			field	Northern Territories	blood	E1BHK4	Mammalian			
AUS1986/02	19649272			DQ186791								Bos taurus	Australia	1986			field	Northern Territories	blood	BHK2V1BHK1	Mammalian			
Australian 	8077943							L11724				Ovis aries	Australia											
Australian serotype 1	1703371							M63417					Australia											
Avikanagar 1	19382719		AY559058					AM261976				Ovis aries	India				field	Avikanagar	blood	BHK?	Mammalian			
Avikanagar 2	UP						EU443928						India	1994			field	Avikanagar-Rajasthan						
Avikanagar/94/Ind	25703157		KF563930									Ovis aries	India				field	Avikanagar-Rajasthan	blood					
