querySequenceId	categoryId	direction
ncbi-curated/AJ585110	S2_genotype_1	FORWARD
ncbi-curated/AJ585111	S2_genotype_1	FORWARD
ncbi-curated/AJ585112	S2_genotype_1	FORWARD
ncbi-curated/AJ585113	S2_genotype_1	FORWARD
ncbi-curated/AJ585114	S2_genotype_1	FORWARD
ncbi-curated/AJ585115	S2_genotype_1	FORWARD
ncbi-curated/AJ585116	S2_genotype_1	FORWARD
ncbi-curated/AJ585117	S2_genotype_1	FORWARD
ncbi-curated/AJ585118	S2_genotype_1	FORWARD
ncbi-curated/AJ585119	S2_genotype_1	FORWARD
ncbi-curated/AJ585120	S2_genotype_1	FORWARD
ncbi-curated/AJ585121	S2_genotype_1	FORWARD
ncbi-curated/AJ585122	S2_genotype_1	FORWARD
ncbi-curated/AJ585123	S2_genotype_2	FORWARD
ncbi-curated/AJ585124	S2_genotype_3	FORWARD
ncbi-curated/AJ585125	S2_genotype_4	FORWARD
ncbi-curated/AJ585126	S2_genotype_5	FORWARD
ncbi-curated/AJ585127	S2_genotype_6	FORWARD
ncbi-curated/AJ585128	S2_genotype_7	FORWARD
ncbi-curated/AJ585129	S2_genotype_8	FORWARD
ncbi-curated/AJ585130	S2_genotype_9	FORWARD
ncbi-curated/AJ585131	S2_genotype_10	FORWARD
ncbi-curated/AJ585132	S2_genotype_11	FORWARD
ncbi-curated/AJ585133	S2_genotype_12	FORWARD
ncbi-curated/AJ585134	S2_genotype_13	FORWARD
ncbi-curated/AJ585135	S2_genotype_14	FORWARD
ncbi-curated/AJ585136	S2_genotype_15	FORWARD
ncbi-curated/AJ585137	S2_genotype_16	FORWARD
ncbi-curated/AJ585138	S2_genotype_17	FORWARD
ncbi-curated/AJ585139	S2_genotype_18	FORWARD
ncbi-curated/AJ585140	S2_genotype_19	FORWARD
ncbi-curated/AJ585141	S2_genotype_20	FORWARD
ncbi-curated/AJ585142	S2_genotype_21	FORWARD
ncbi-curated/AJ585143	S2_genotype_22	FORWARD
ncbi-curated/AJ585144	S2_genotype_23	FORWARD
ncbi-curated/AJ585145	S2_genotype_24	FORWARD
ncbi-curated/AJ585146	S2_genotype_16	FORWARD
ncbi-curated/AJ585147	S2_genotype_16	FORWARD
ncbi-curated/AJ585148	S2_genotype_16	FORWARD
ncbi-curated/AJ585149	S2_genotype_16	FORWARD
ncbi-curated/AJ585150	S2_genotype_16	FORWARD
ncbi-curated/AJ585151	S2_genotype_16	FORWARD
ncbi-curated/AJ585152	S2_genotype_2	FORWARD
ncbi-curated/AJ585153	S2_genotype_2	FORWARD
ncbi-curated/AJ585154	S2_genotype_2	FORWARD
ncbi-curated/AJ585155	S2_genotype_2	FORWARD
ncbi-curated/AJ585156	S2_genotype_2	FORWARD
ncbi-curated/AJ585157	S2_genotype_2	FORWARD
ncbi-curated/AJ585158	S2_genotype_2	FORWARD
ncbi-curated/AJ585159	S2_genotype_2	FORWARD
ncbi-curated/AJ585160	S2_genotype_2	FORWARD
ncbi-curated/AJ585161	S2_genotype_2	FORWARD
ncbi-curated/AJ585162	S2_genotype_2	FORWARD
ncbi-curated/AJ585163	S2_genotype_4	FORWARD
ncbi-curated/AJ585164	S2_genotype_4	FORWARD
ncbi-curated/AJ585165	S2_genotype_4	FORWARD
ncbi-curated/AJ585166	S2_genotype_4	FORWARD
ncbi-curated/AJ585167	S2_genotype_4	FORWARD
ncbi-curated/AJ585168	S2_genotype_4	FORWARD
ncbi-curated/AJ585169	S2_genotype_4	FORWARD
ncbi-curated/AJ585170	S2_genotype_9	FORWARD
ncbi-curated/AJ585171	S2_genotype_9	FORWARD
ncbi-curated/AJ585172	S2_genotype_9	FORWARD
ncbi-curated/AJ585173	S2_genotype_9	FORWARD
ncbi-curated/AJ585174	S2_genotype_9	FORWARD
ncbi-curated/AJ585175	S2_genotype_9	FORWARD
ncbi-curated/AJ585176	S2_genotype_9	FORWARD
ncbi-curated/AJ585177	S2_genotype_9	FORWARD
ncbi-curated/AJ585178	S2_genotype_1	FORWARD
ncbi-curated/AJ585179	S2_genotype_3	FORWARD
ncbi-curated/AJ585180	S2_genotype_4	FORWARD
ncbi-curated/AJ585181	S2_genotype_5	FORWARD
ncbi-curated/AJ585182	S2_genotype_5	FORWARD
ncbi-curated/AJ585183	S2_genotype_8	FORWARD
ncbi-curated/AJ585184	S2_genotype_8	FORWARD
ncbi-curated/AJ585185	S2_genotype_12	FORWARD
ncbi-curated/AJ585186	S2_genotype_14	FORWARD
ncbi-curated/AJ585187	S2_genotype_22	FORWARD
ncbi-curated/AJ585188	S2_genotype_23	FORWARD
ncbi-curated/AJ585189	S2_genotype_23	FORWARD
ncbi-curated/AM498052	S2_genotype_8	FORWARD
ncbi-curated/AM773697	S2_genotype_2	FORWARD
ncbi-curated/AM773698	S2_genotype_2	FORWARD
ncbi-curated/AM773699	S2_genotype_16	FORWARD
ncbi-curated/AM773700	S2_genotype_16	FORWARD
ncbi-curated/AM773701	S2_genotype_16	FORWARD
ncbi-curated/AM773702	S2_genotype_16	FORWARD
ncbi-curated/AM773708	S2_genotype_2	FORWARD
ncbi-curated/AM773709	S2_genotype_16	FORWARD
ncbi-curated/AM773710	S2_genotype_16	FORWARD
ncbi-curated/AY028211	S2_genotype_10	FORWARD
ncbi-curated/AY485669	S2_genotype_3	FORWARD
ncbi-curated/AY493687	S2_genotype_2	FORWARD
ncbi-curated/AY559058	S2_genotype_1	FORWARD
ncbi-curated/AY559060	S2_genotype_1	FORWARD
ncbi-curated/AY559061	S2_genotype_1	FORWARD
ncbi-curated/AY636071	S2_genotype_17	FORWARD
ncbi-curated/AY636072	S2_genotype_17	FORWARD
ncbi-curated/AY636073	S2_genotype_17	FORWARD
ncbi-curated/AY636074	S2_genotype_17	FORWARD
ncbi-curated/AY636075	S2_genotype_17	FORWARD
ncbi-curated/AY636076	S2_genotype_17	FORWARD
ncbi-curated/AY636077	S2_genotype_17	FORWARD
ncbi-curated/AY636078	S2_genotype_17	FORWARD
ncbi-curated/AY643505	S2_genotype_23	FORWARD
ncbi-curated/AY643506	S2_genotype_23	FORWARD
ncbi-curated/AY643507	S2_genotype_23	FORWARD
ncbi-curated/AY839945	S2_genotype_4	FORWARD
ncbi-curated/AY839946	S2_genotype_4	FORWARD
ncbi-curated/AY839947	S2_genotype_4	FORWARD
ncbi-curated/AY839948	S2_genotype_4	FORWARD
ncbi-curated/AY855264	S2_genotype_2	FORWARD
ncbi-curated/AY855265	S2_genotype_2	FORWARD
ncbi-curated/AY855266	S2_genotype_2	FORWARD
ncbi-curated/AY855267	S2_genotype_2	FORWARD
ncbi-curated/AY855268	S2_genotype_13	FORWARD
ncbi-curated/AY855269	S2_genotype_17	FORWARD
ncbi-curated/D00153	S2_genotype_13	FORWARD
ncbi-curated/DQ191259	S2_genotype_16	FORWARD
ncbi-curated/DQ191260	S2_genotype_16	FORWARD
ncbi-curated/DQ191261	S2_genotype_2	FORWARD
ncbi-curated/DQ191262	S2_genotype_2	FORWARD
ncbi-curated/DQ191263	S2_genotype_2	FORWARD
ncbi-curated/DQ191264	S2_genotype_2	FORWARD
ncbi-curated/DQ191265	S2_genotype_2	FORWARD
ncbi-curated/DQ191266	S2_genotype_2	FORWARD
ncbi-curated/DQ191267	S2_genotype_2	FORWARD
ncbi-curated/DQ191268	S2_genotype_2	FORWARD
ncbi-curated/DQ191269	S2_genotype_2	FORWARD
ncbi-curated/DQ191270	S2_genotype_2	FORWARD
ncbi-curated/DQ191271	S2_genotype_2	FORWARD
ncbi-curated/DQ191272	S2_genotype_2	FORWARD
ncbi-curated/DQ191273	S2_genotype_2	FORWARD
ncbi-curated/DQ191274	S2_genotype_2	FORWARD
ncbi-curated/DQ191275	S2_genotype_2	FORWARD
ncbi-curated/DQ191276	S2_genotype_4	FORWARD
ncbi-curated/DQ191277	S2_genotype_4	FORWARD
ncbi-curated/DQ191278	S2_genotype_4	FORWARD
ncbi-curated/DQ191279	S2_genotype_4	FORWARD
ncbi-curated/DQ191280	S2_genotype_4	FORWARD
ncbi-curated/DQ191281	S2_genotype_4	FORWARD
ncbi-curated/DQ191282	S2_genotype_9	FORWARD
ncbi-curated/DQ191283	S2_genotype_9	FORWARD
ncbi-curated/DQ191284	S2_genotype_9	FORWARD
ncbi-curated/DQ191285	S2_genotype_9	FORWARD
ncbi-curated/DQ462580	S2_genotype_2	FORWARD
ncbi-curated/DQ462581	S2_genotype_5	FORWARD
ncbi-curated/DQ462581	S2_genotype_9	FORWARD
ncbi-curated/DQ641923	S2_genotype_2	FORWARD
ncbi-curated/DQ825670	S2_genotype_4	FORWARD
ncbi-curated/DQ848152	S2_genotype_17	FORWARD
ncbi-curated/DQ872902	S2_genotype_5	FORWARD
ncbi-curated/EF434176	S2_genotype_4	FORWARD
ncbi-curated/EF434177	S2_genotype_2	FORWARD
ncbi-curated/EU427465	S2_genotype_2	FORWARD
ncbi-curated/EU427466	S2_genotype_2	FORWARD
ncbi-curated/EU498674	S2_genotype_1	FORWARD
ncbi-curated/EU625361	S2_genotype_1	FORWARD
ncbi-curated/EU625362	S2_genotype_1	FORWARD
ncbi-curated/EU839840	S2_genotype_25	FORWARD
ncbi-curated/FJ183375	S2_genotype_8	FORWARD
ncbi-curated/FJ437557	S2_genotype_1	FORWARD
ncbi-curated/FJ969720	S2_genotype_1	FORWARD
ncbi-curated/GQ233041	S2_genotype_1	FORWARD
ncbi-curated/GQ506452	S2_genotype_8	FORWARD
ncbi-curated/GQ506461	S2_genotype_6	FORWARD
ncbi-curated/GQ506473	S2_genotype_6	FORWARD
ncbi-curated/GQ506489	S2_genotype_6	FORWARD
ncbi-curated/GQ506507	S2_genotype_6	FORWARD
ncbi-curated/GQ506517	S2_genotype_6	FORWARD
ncbi-curated/GQ506527	S2_genotype_6	FORWARD
ncbi-curated/GQ506537	S2_genotype_6	FORWARD
ncbi-curated/GU390659	S2_genotype_12	FORWARD
ncbi-curated/GU550956	S2_genotype_6	FORWARD
ncbi-curated/GU550957	S2_genotype_6	FORWARD
ncbi-curated/GU931316	S2_genotype_16	FORWARD
ncbi-curated/HM014236	S2_genotype_1	FORWARD
ncbi-curated/HM590642	S2_genotype_26	FORWARD
ncbi-curated/HQ222818	S2_genotype_18	FORWARD
ncbi-curated/HQ222819	S2_genotype_22	FORWARD
ncbi-curated/HQ222820	S2_genotype_2	FORWARD
ncbi-curated/HQ222821	S2_genotype_10	FORWARD
ncbi-curated/HQ222822	S2_genotype_17	FORWARD
ncbi-curated/HQ222823	S2_genotype_24	FORWARD
ncbi-curated/HQ222824	S2_genotype_2	FORWARD
ncbi-curated/HQ222825	S2_genotype_17	FORWARD
ncbi-curated/HQ241072	S2_genotype_5	FORWARD
ncbi-curated/JF303890	S2_genotype_10	FORWARD
ncbi-curated/JF343006	S2_genotype_15	FORWARD
ncbi-curated/JF423934	S2_genotype_8	FORWARD
ncbi-curated/JF423935	S2_genotype_8	FORWARD
ncbi-curated/JF423936	S2_genotype_8	FORWARD
ncbi-curated/JF423937	S2_genotype_8	FORWARD
ncbi-curated/JF423938	S2_genotype_8	FORWARD
ncbi-curated/JF443155	S2_genotype_9	FORWARD
ncbi-curated/JF443156	S2_genotype_9	FORWARD
ncbi-curated/JF443157	S2_genotype_9	FORWARD
ncbi-curated/JF443167	S2_genotype_9	FORWARD
ncbi-curated/JF727655	S2_genotype_10	FORWARD
ncbi-curated/JF768738	S2_genotype_21	FORWARD
ncbi-curated/JN003580	S2_genotype_11	FORWARD
ncbi-curated/JN003581	S2_genotype_24	FORWARD
ncbi-curated/JN003582	S2_genotype_13	FORWARD
ncbi-curated/JN106018	S2_genotype_16	FORWARD
ncbi-curated/JN106019	S2_genotype_16	FORWARD
ncbi-curated/JN106020	S2_genotype_16	FORWARD
ncbi-curated/JN106021	S2_genotype_16	FORWARD
ncbi-curated/JN106022	S2_genotype_16	FORWARD
ncbi-curated/JN106023	S2_genotype_16	FORWARD
ncbi-curated/JN106024	S2_genotype_1	FORWARD
ncbi-curated/JN106025	S2_genotype_1	FORWARD
ncbi-curated/JN106026	S2_genotype_1	FORWARD
ncbi-curated/JN162682	S2_genotype_24	FORWARD
ncbi-curated/JN162683	S2_genotype_24	FORWARD
ncbi-curated/JN162684	S2_genotype_24	FORWARD
ncbi-curated/JN162685	S2_genotype_24	FORWARD
ncbi-curated/JN162686	S2_genotype_24	FORWARD
ncbi-curated/JN255863	S2_genotype_2	FORWARD
ncbi-curated/JN255873	S2_genotype_2	FORWARD
ncbi-curated/JN255883	S2_genotype_4	FORWARD
ncbi-curated/JN255893	S2_genotype_4	FORWARD
ncbi-curated/JN255903	S2_genotype_9	FORWARD
ncbi-curated/JN255913	S2_genotype_9	FORWARD
ncbi-curated/JN255923	S2_genotype_2	FORWARD
ncbi-curated/JN255933	S2_genotype_2	FORWARD
ncbi-curated/JN255943	S2_genotype_4	FORWARD
ncbi-curated/JN255953	S2_genotype_9	FORWARD
ncbi-curated/JN255963	S2_genotype_9	FORWARD
ncbi-curated/JN544065	S2_genotype_8	FORWARD
ncbi-curated/JN544066	S2_genotype_8	FORWARD
ncbi-curated/JN544067	S2_genotype_8	FORWARD
ncbi-curated/JN544068	S2_genotype_8	FORWARD
ncbi-curated/JN544069	S2_genotype_8	FORWARD
ncbi-curated/JN544070	S2_genotype_8	FORWARD
ncbi-curated/JN544071	S2_genotype_8	FORWARD
ncbi-curated/JN544073	S2_genotype_8	FORWARD
ncbi-curated/JN544074	S2_genotype_8	FORWARD
ncbi-curated/JN544075	S2_genotype_8	FORWARD
ncbi-curated/JN544076	S2_genotype_8	FORWARD
ncbi-curated/JN546195	S2_genotype_24	FORWARD
ncbi-curated/JN546196	S2_genotype_4	FORWARD
ncbi-curated/JN546197	S2_genotype_24	FORWARD
ncbi-curated/JN546198	S2_genotype_24	FORWARD
ncbi-curated/JN546199	S2_genotype_24	FORWARD
ncbi-curated/JN546200	S2_genotype_24	FORWARD
ncbi-curated/JN558348	S2_genotype_1	FORWARD
ncbi-curated/JN558349	S2_genotype_1	FORWARD
ncbi-curated/JN564041	S2_genotype_4	FORWARD
ncbi-curated/JN564042	S2_genotype_4	FORWARD
ncbi-curated/JN564043	S2_genotype_4	FORWARD
ncbi-curated/JN564044	S2_genotype_4	FORWARD
ncbi-curated/JN572917	S2_genotype_16	FORWARD
ncbi-curated/JN579710	S2_genotype_9	FORWARD
ncbi-curated/JN613126	S2_genotype_21	FORWARD
ncbi-curated/JN635334	S2_genotype_1	FORWARD
ncbi-curated/JN671907	S2_genotype_16	FORWARD
ncbi-curated/JN704634	S2_genotype_10	FORWARD
ncbi-curated/JN848760	S2_genotype_1	FORWARD
ncbi-curated/JN881986	S2_genotype_1	FORWARD
ncbi-curated/JQ037800	S2_genotype_1	FORWARD
ncbi-curated/JQ037801	S2_genotype_1	FORWARD
ncbi-curated/JQ037802	S2_genotype_1	FORWARD
ncbi-curated/JQ037803	S2_genotype_1	FORWARD
ncbi-curated/JQ037804	S2_genotype_1	FORWARD
ncbi-curated/JQ037805	S2_genotype_1	FORWARD
ncbi-curated/JQ037806	S2_genotype_1	FORWARD
ncbi-curated/JQ037807	S2_genotype_1	FORWARD
ncbi-curated/JQ037808	S2_genotype_1	FORWARD
ncbi-curated/JQ037809	S2_genotype_1	FORWARD
ncbi-curated/JQ037810	S2_genotype_1	FORWARD
ncbi-curated/JQ037811	S2_genotype_1	FORWARD
ncbi-curated/JQ037812	S2_genotype_1	FORWARD
ncbi-curated/JQ037813	S2_genotype_1	FORWARD
ncbi-curated/JQ086222	S2_genotype_15	FORWARD
ncbi-curated/JQ086232	S2_genotype_16	FORWARD
ncbi-curated/JQ086242	S2_genotype_2	FORWARD
ncbi-curated/JQ086252	S2_genotype_20	FORWARD
ncbi-curated/JQ086262	S2_genotype_21	FORWARD
ncbi-curated/JQ086272	S2_genotype_23	FORWARD
ncbi-curated/JQ086282	S2_genotype_3	FORWARD
ncbi-curated/JQ086292	S2_genotype_7	FORWARD
ncbi-curated/JQ086302	S2_genotype_9	FORWARD
ncbi-curated/JQ240322	S2_genotype_2	FORWARD
ncbi-curated/JQ414046	S2_genotype_9	FORWARD
ncbi-curated/JQ436729	S2_genotype_13	FORWARD
ncbi-curated/JQ436730	S2_genotype_3	FORWARD
ncbi-curated/JQ436733	S2_genotype_17	FORWARD
ncbi-curated/JQ436734	S2_genotype_13	FORWARD
ncbi-curated/JQ436735	S2_genotype_10	FORWARD
ncbi-curated/JQ436736	S2_genotype_1	FORWARD
ncbi-curated/JQ478482	S2_genotype_16	FORWARD
ncbi-curated/JQ478483	S2_genotype_16	FORWARD
ncbi-curated/JQ478484	S2_genotype_16	FORWARD
ncbi-curated/JQ478485	S2_genotype_16	FORWARD
ncbi-curated/JQ478486	S2_genotype_16	FORWARD
ncbi-curated/JQ478487	S2_genotype_16	FORWARD
ncbi-curated/JQ681258	S2_genotype_2	FORWARD
ncbi-curated/JQ740772	S2_genotype_10	FORWARD
ncbi-curated/JQ771814	S2_genotype_3	FORWARD
ncbi-curated/JQ771824	S2_genotype_23	FORWARD
ncbi-curated/JQ822249	S2_genotype_2	FORWARD
ncbi-curated/JQ904060	S2_genotype_16	FORWARD
ncbi-curated/JQ904061	S2_genotype_16	FORWARD
ncbi-curated/JQ904062	S2_genotype_16	FORWARD
ncbi-curated/JQ904063	S2_genotype_16	FORWARD
ncbi-curated/JQ904072	S2_genotype_2	FORWARD
ncbi-curated/JQ924821	S2_genotype_16	FORWARD
ncbi-curated/JQ972832	S2_genotype_11	FORWARD
ncbi-curated/JQ972842	S2_genotype_11	FORWARD
ncbi-curated/JQ972852	S2_genotype_11	FORWARD
ncbi-curated/JQ972862	S2_genotype_11	FORWARD
ncbi-curated/JX003688	S2_genotype_9	FORWARD
ncbi-curated/JX007924	S2_genotype_16	FORWARD
ncbi-curated/JX024940	S2_genotype_4	FORWARD
ncbi-curated/JX024945	S2_genotype_4	FORWARD
ncbi-curated/JX024950	S2_genotype_4	FORWARD
ncbi-curated/JX024955	S2_genotype_4	FORWARD
ncbi-curated/JX024960	S2_genotype_4	FORWARD
ncbi-curated/JX101694	S2_genotype_1	FORWARD
ncbi-curated/JX101695	S2_genotype_1	FORWARD
ncbi-curated/JX272370	S2_genotype_24	FORWARD
ncbi-curated/JX272380	S2_genotype_1	FORWARD
ncbi-curated/JX272390	S2_genotype_22	FORWARD
ncbi-curated/JX272400	S2_genotype_23	FORWARD
ncbi-curated/JX272410	S2_genotype_21	FORWARD
ncbi-curated/JX272420	S2_genotype_20	FORWARD
ncbi-curated/JX272430	S2_genotype_19	FORWARD
ncbi-curated/JX272440	S2_genotype_18	FORWARD
ncbi-curated/JX272450	S2_genotype_17	FORWARD
ncbi-curated/JX272460	S2_genotype_16	FORWARD
ncbi-curated/JX272470	S2_genotype_15	FORWARD
ncbi-curated/JX272480	S2_genotype_14	FORWARD
ncbi-curated/JX272490	S2_genotype_13	FORWARD
ncbi-curated/JX272500	S2_genotype_12	FORWARD
ncbi-curated/JX272510	S2_genotype_11	FORWARD
ncbi-curated/JX272520	S2_genotype_10	FORWARD
ncbi-curated/JX272530	S2_genotype_9	FORWARD
ncbi-curated/JX272540	S2_genotype_8	FORWARD
ncbi-curated/JX272550	S2_genotype_7	FORWARD
ncbi-curated/JX272560	S2_genotype_6	FORWARD
ncbi-curated/JX272570	S2_genotype_5	FORWARD
ncbi-curated/JX272580	S2_genotype_4	FORWARD
ncbi-curated/JX272590	S2_genotype_3	FORWARD
ncbi-curated/JX272600	S2_genotype_2	FORWARD
ncbi-curated/JX399149	S2_genotype_1	FORWARD
ncbi-curated/JX560414	S2_genotype_4	FORWARD
ncbi-curated/JX680448	S2_genotype_8	FORWARD
ncbi-curated/JX680458	S2_genotype_1	FORWARD
ncbi-curated/JX854018	S2_genotype_16	FORWARD
ncbi-curated/JX854019	S2_genotype_16	FORWARD
ncbi-curated/JX854020	S2_genotype_16	FORWARD
ncbi-curated/JX854021	S2_genotype_16	FORWARD
ncbi-curated/JX861489	S2_genotype_1	FORWARD
ncbi-curated/JX861499	S2_genotype_1	FORWARD
ncbi-curated/JX889219	S2_genotype_24	FORWARD
ncbi-curated/JX965385	S2_genotype_6	FORWARD
ncbi-curated/KC012519	S2_genotype_2	FORWARD
ncbi-curated/KC153300	S2_genotype_1	FORWARD
ncbi-curated/KC633277	S2_genotype_24	FORWARD
ncbi-curated/KC633278	S2_genotype_12	FORWARD
ncbi-curated/KC633279	S2_genotype_2	FORWARD
ncbi-curated/KC662613	S2_genotype_12	FORWARD
ncbi-curated/KC751419	S2_genotype_16	FORWARD
ncbi-curated/KC751420	S2_genotype_1	FORWARD
ncbi-curated/KC751421	S2_genotype_1	FORWARD
ncbi-curated/KC751422	S2_genotype_2	FORWARD
ncbi-curated/KC751423	S2_genotype_16	FORWARD
ncbi-curated/KC751424	S2_genotype_16	FORWARD
ncbi-curated/KC751425	S2_genotype_16	FORWARD
ncbi-curated/KC879616	S2_genotype_1	FORWARD
ncbi-curated/KC954625	S2_genotype_1	FORWARD
ncbi-curated/KF387522	S2_genotype_16	FORWARD
ncbi-curated/KF560418	S2_genotype_4	FORWARD
ncbi-curated/KF563929	S2_genotype_1	FORWARD
ncbi-curated/KF563930	S2_genotype_1	FORWARD
ncbi-curated/KF563931	S2_genotype_1	FORWARD
ncbi-curated/KF563932	S2_genotype_1	FORWARD
ncbi-curated/KF563933	S2_genotype_1	FORWARD
ncbi-curated/KF563934	S2_genotype_1	FORWARD
ncbi-curated/KF563935	S2_genotype_1	FORWARD
ncbi-curated/KF563936	S2_genotype_1	FORWARD
ncbi-curated/KF563937	S2_genotype_1	FORWARD
ncbi-curated/KF563938	S2_genotype_1	FORWARD
ncbi-curated/KF563939	S2_genotype_1	FORWARD
ncbi-curated/KF563940	S2_genotype_1	FORWARD
ncbi-curated/KF563941	S2_genotype_1	FORWARD
ncbi-curated/KF563942	S2_genotype_1	FORWARD
ncbi-curated/KF563943	S2_genotype_1	FORWARD
ncbi-curated/KF563944	S2_genotype_1	FORWARD
ncbi-curated/KF563945	S2_genotype_1	FORWARD
ncbi-curated/KF563946	S2_genotype_1	FORWARD
ncbi-curated/KF584171	S2_genotype_2	FORWARD
ncbi-curated/KF584173	S2_genotype_2	FORWARD
ncbi-curated/KF584174	S2_genotype_2	FORWARD
ncbi-curated/KF584177	S2_genotype_2	FORWARD
ncbi-curated/KF584186	S2_genotype_2	FORWARD
ncbi-curated/KF584188	S2_genotype_2	FORWARD
ncbi-curated/KF584190	S2_genotype_4	FORWARD
ncbi-curated/KF584191	S2_genotype_4	FORWARD
ncbi-curated/KF584192	S2_genotype_4	FORWARD
ncbi-curated/KF584193	S2_genotype_4	FORWARD
ncbi-curated/KF584194	S2_genotype_4	FORWARD
ncbi-curated/KF584195	S2_genotype_4	FORWARD
ncbi-curated/KF584196	S2_genotype_4	FORWARD
ncbi-curated/KF584197	S2_genotype_4	FORWARD
ncbi-curated/KF584198	S2_genotype_4	FORWARD
ncbi-curated/KF584201	S2_genotype_4	FORWARD
ncbi-curated/KF584202	S2_genotype_4	FORWARD
ncbi-curated/KF584203	S2_genotype_4	FORWARD
ncbi-curated/KF584212	S2_genotype_24	FORWARD
ncbi-curated/KF584214	S2_genotype_24	FORWARD
ncbi-curated/KF584216	S2_genotype_24	FORWARD
ncbi-curated/KF584218	S2_genotype_24	FORWARD
ncbi-curated/KF584220	S2_genotype_24	FORWARD
ncbi-curated/KF664104	S2_genotype_16	FORWARD
ncbi-curated/KF664114	S2_genotype_1	FORWARD
ncbi-curated/KF664124	S2_genotype_1	FORWARD
ncbi-curated/KF664134	S2_genotype_16	FORWARD
ncbi-curated/KF986495	S2_genotype_2	FORWARD
ncbi-curated/KF986499	S2_genotype_2	FORWARD
ncbi-curated/KF986501	S2_genotype_2	FORWARD
ncbi-curated/KJ019206	S2_genotype_1	FORWARD
ncbi-curated/KJ577095	S2_genotype_1	FORWARD
ncbi-curated/KJ577105	S2_genotype_1	FORWARD
ncbi-curated/KJ577115	S2_genotype_1	FORWARD
ncbi-curated/KJ577125	S2_genotype_1	FORWARD
ncbi-curated/KJ661730	S2_genotype_1	FORWARD
ncbi-curated/KJ679573	S2_genotype_9	FORWARD
ncbi-curated/KJ700442	S2_genotype_4	FORWARD
ncbi-curated/KJ736002	S2_genotype_1	FORWARD
ncbi-curated/KJ872780	S2_genotype_8	FORWARD
ncbi-curated/KM053259	S2_genotype_8	FORWARD
ncbi-curated/KM053269	S2_genotype_2	FORWARD
ncbi-curated/KM099523	S2_genotype_1	FORWARD
ncbi-curated/KM099524	S2_genotype_1	FORWARD
ncbi-curated/KM099525	S2_genotype_1	FORWARD
ncbi-curated/KM099526	S2_genotype_1	FORWARD
ncbi-curated/KM099527	S2_genotype_1	FORWARD
ncbi-curated/KM099528	S2_genotype_1	FORWARD
ncbi-curated/KM099529	S2_genotype_1	FORWARD
ncbi-curated/KM099530	S2_genotype_1	FORWARD
ncbi-curated/KM099531	S2_genotype_1	FORWARD
ncbi-curated/KM099532	S2_genotype_1	FORWARD
ncbi-curated/KM099533	S2_genotype_1	FORWARD
ncbi-curated/KM099534	S2_genotype_1	FORWARD
ncbi-curated/KM099535	S2_genotype_1	FORWARD
ncbi-curated/KM099536	S2_genotype_1	FORWARD
ncbi-curated/KM099537	S2_genotype_1	FORWARD
ncbi-curated/KM099538	S2_genotype_1	FORWARD
ncbi-curated/KM099539	S2_genotype_1	FORWARD
ncbi-curated/KM110785	S2_genotype_4	FORWARD
ncbi-curated/KM110786	S2_genotype_4	FORWARD
ncbi-curated/KM200718	S2_genotype_27	FORWARD
