format	excluded	sequence_id	source_name	gb_gi_number	gb_primary_accession	gb_accession_version	gb_locus	gb_length	gb_lab_construct	gb_organism	gb_isolate	gb_taxonomy	gb_host	gb_country	gb_collection_year	gb_collection_month	gb_collection_month_day	gb_create_date	gb_update_date	gb_serotype	gb_topotype	sample_type	place_sampled	tissue_sampled	passage_history	passage_cells
GENBANK_XML	no	914340811	ncbi-curated	914340811	KP821507	KP821507.1	KP821507	1635	NULL	Bluetongue virus 2	FRA2001/03	Viruses; dsRNA viruses; Reoviridae; Sedoreovirinae; Orbivirus	Ovis aries	France	2001	SEP	12	16/08/2015	16/08/2015	2	NULL	field	Corsica	blood	BHK3	Mammalian
GENBANK_XML	no	914340813	ncbi-curated	914340813	KP821508	KP821508.1	KP821508	1635	NULL	Bluetongue virus 2	FRA2001/06	Viruses; dsRNA viruses; Reoviridae; Sedoreovirinae; Orbivirus	Ovis aries	France	2001	SEP	2	16/08/2015	16/08/2015	2	NULL	field	Corsica	blood	E1BHK2	Mammalian
GENBANK_XML	no	914340815	ncbi-curated	914340815	KP821509	KP821509.1	KP821509	1635	NULL	Bluetongue virus 2	ISR2001/17	Viruses; dsRNA viruses; Reoviridae; Sedoreovirinae; Orbivirus	Ovis aries	Israel	2001	FEB	27	16/08/2015	16/08/2015	2	NULL	field	Yokneam	spleen	E1BHK5	Mammalian
GENBANK_XML	no	914340817	ncbi-curated	914340817	KP821510	KP821510.1	KP821510	1635	NULL	Bluetongue virus 2	ITL2002/02	Viruses; dsRNA viruses; Reoviridae; Sedoreovirinae; Orbivirus	Culicoides pulicaris	Italy	2002	JUL	18	16/08/2015	16/08/2015	2	NULL	field	Novara di Sicilia-Sicily	Culicoides pulicaris	E1BHK5	Mammalian
GENBANK_XML	no	914340819	ncbi-curated	914340819	KP821511	KP821511.1	KP821511	1635	NULL	Bluetongue virus 2	ITL2002/07	Viruses; dsRNA viruses; Reoviridae; Sedoreovirinae; Orbivirus	Ovis aries	Italy	2002	JUL	18	16/08/2015	16/08/2015	2	NULL	field	S.Angelo di Brolo-Sicily	spleen	E1BHK7	Mammalian
GENBANK_XML	no	914340821	ncbi-curated	914340821	KP821512	KP821512.1	KP821512	1635	NULL	Bluetongue virus 2	RSArrrr/02	Viruses; dsRNA viruses; Reoviridae; Sedoreovirinae; Orbivirus	Ovis aries	South Africa	1959	NULL	NULL	16/08/2015	16/08/2015	2	NULL	reference	Ermelo-Transvaal	NULL	E2BHK7	Mammalian
GENBANK_XML	no	914340823	ncbi-curated	914340823	KP821513	KP821513.1	KP821513	1635	NULL	Bluetongue virus 2	RSAvvvv/02	Viruses; dsRNA viruses; Reoviridae; Sedoreovirinae; Orbivirus	Ovis aries	South Africa	1958	NULL	NULL	16/08/2015	16/08/2015	2	NULL	vaccine	Transvaal	NULL	E50P3BHK5	Mammalian
GENBANK_XML	no	914340825	ncbi-curated	914340825	KP821514	KP821514.1	KP821514	1629	NULL	Bluetongue virus 2	SAD2001/01	Viruses; dsRNA viruses; Reoviridae; Sedoreovirinae; Orbivirus	Ovis aries	Italy	2001	DEC	29	16/08/2015	16/08/2015	2	NULL	field	Sardinia	spleen	E1BHK2	Mammalian
GENBANK_XML	no	914340827	ncbi-curated	914340827	KP821515	KP821515.1	KP821515	1635	NULL	Bluetongue virus 2	SAD2001/03	Viruses; dsRNA viruses; Reoviridae; Sedoreovirinae; Orbivirus	Ovis aries	Italy	2001	DEC	29	16/08/2015	16/08/2015	2	NULL	field	Sardinia	spleen	E1BHK3	Mammalian
GENBANK_XML	no	914340829	ncbi-curated	914340829	KP821516	KP821516.1	KP821516	1635	NULL	Bluetongue virus 2	SAD2002/02	Viruses; dsRNA viruses; Reoviridae; Sedoreovirinae; Orbivirus	Ovis aries	Italy	2002	JAN	2	16/08/2015	16/08/2015	2	NULL	field	Sardinia	blood	E1BHK3	Mammalian
GENBANK_XML	no	914340831	ncbi-curated	914340831	KP821517	KP821517.1	KP821517	1635	NULL	Bluetongue virus 2	SPA2005/01	Viruses; dsRNA viruses; Reoviridae; Sedoreovirinae; Orbivirus	Bos taurus	Spain	2005	JUL	11	16/08/2015	16/08/2015	2	NULL	field	NULL	blood	E1BHK2	Mammalian
GENBANK_XML	no	914340833	ncbi-curated	914340833	KP821518	KP821518.1	KP821518	1635	NULL	Bluetongue virus 2	SUD1983/05	Viruses; dsRNA viruses; Reoviridae; Sedoreovirinae; Orbivirus	Culicoides sp.	Sudan	1983	OCT	NULL	16/08/2015	16/08/2015	2	NULL	field	Nyala	Culicoides spp	LD3BHK5	Mammalian
GENBANK_XML	no	914340835	ncbi-curated	914340835	KP821519	KP821519.1	KP821519	1635	NULL	Bluetongue virus 2	TUN2000/01	Viruses; dsRNA viruses; Reoviridae; Sedoreovirinae; Orbivirus	NULL	Tunisia	2000	FEB	3	16/08/2015	16/08/2015	2	NULL	field	NULL	NULL	E1BHK5	Mammalian
GENBANK_XML	no	914340837	ncbi-curated	914340837	KP821520	KP821520.1	KP821520	1637	NULL	Bluetongue virus 3	CYP1958/01	Viruses; dsRNA viruses; Reoviridae; Sedoreovirinae; Orbivirus	NULL	Cyprus	1958	MAR	NULL	16/08/2015	16/08/2015	3	NULL	field	NULL	NULL	BHK?	Mammalian
GENBANK_XML	no	914340839	ncbi-curated	914340839	KP821521	KP821521.1	KP821521	1637	NULL	Bluetongue virus 3	RSArrrr/03	Viruses; dsRNA viruses; Reoviridae; Sedoreovirinae; Orbivirus	Ovis aries	South Africa	1943	NULL	NULL	16/08/2015	16/08/2015	3	NULL	reference	Larnaca-Cyprus	NULL	E1BHK6	Mammalian
GENBANK_XML	no	914340841	ncbi-curated	914340841	KP821522	KP821522.1	KP821522	1638	NULL	Bluetongue virus 4	CYP1969/01	Viruses; dsRNA viruses; Reoviridae; Sedoreovirinae; Orbivirus	Bos taurus	Cyprus	1969	NULL	NULL	16/08/2015	16/08/2015	4	NULL	field	NULL	blood	BHK8	Mammalian
GENBANK_XML	no	914340843	ncbi-curated	914340843	KP821523	KP821523.1	KP821523	1638	NULL	Bluetongue virus 4	CYP2004/03	Viruses; dsRNA viruses; Reoviridae; Sedoreovirinae; Orbivirus	Ovis aries	Cyprus	2004	FEB	12	16/08/2015	16/08/2015	4	NULL	field	Ammochostos	spleen	CPAE1BHK6	Mammalian
GENBANK_XML	no	914340845	ncbi-curated	914340845	KP821524	KP821524.1	KP821524	1638	NULL	Bluetongue virus 4	CYP2011/01	Viruses; dsRNA viruses; Reoviridae; Sedoreovirinae; Orbivirus	Ovis aries	Cyprus	2011	OCT	20	16/08/2015	16/08/2015	4	NULL	field	Poli Chrysochous-Paphos	blood	KC1	Culicoides
GENBANK_XML	no	914340847	ncbi-curated	914340847	KP821525	KP821525.1	KP821525	1638	NULL	Bluetongue virus 4	CYP2011/02	Viruses; dsRNA viruses; Reoviridae; Sedoreovirinae; Orbivirus	Ovis aries	Cyprus	2011	OCT	20	16/08/2015	16/08/2015	4	NULL	field	Poli Chrysochous-Paphos	blood	KC1	Culicoides
GENBANK_XML	no	914340849	ncbi-curated	914340849	KP821526	KP821526.1	KP821526	1638	NULL	Bluetongue virus 4	CYP2011/03	Viruses; dsRNA viruses; Reoviridae; Sedoreovirinae; Orbivirus	Ovis aries	Cyprus	2011	OCT	20	16/08/2015	16/08/2015	4	NULL	field	Poli Chrysochous-Paphos	blood	KC1	Culicoides
GENBANK_XML	no	914340851	ncbi-curated	914340851	KP821527	KP821527.1	KP821527	1638	NULL	Bluetongue virus 4	CYP2011/04	Viruses; dsRNA viruses; Reoviridae; Sedoreovirinae; Orbivirus	Ovis aries	Cyprus	2011	OCT	21	16/08/2015	16/08/2015	4	NULL	field	Poli Chrysochous-Paphos	blood	KC1	Culicoides
GENBANK_XML	no	914340853	ncbi-curated	914340853	KP821528	KP821528.1	KP821528	1638	NULL	Bluetongue virus 4	CYP2011/05	Viruses; dsRNA viruses; Reoviridae; Sedoreovirinae; Orbivirus	Ovis aries	Cyprus	2011	OCT	21	16/08/2015	16/08/2015	4	NULL	field	Poli Chrysochous-Paphos	blood	KC1	Culicoides
GENBANK_XML	no	914340855	ncbi-curated	914340855	KP821529	KP821529.1	KP821529	1638	NULL	Bluetongue virus 4	EGY1977/01	Viruses; dsRNA viruses; Reoviridae; Sedoreovirinae; Orbivirus	NULL	Egypt	1977	NULL	NULL	16/08/2015	16/08/2015	4	NULL	field	NULL	NULL	E?BHK?	Mammalian
GENBANK_XML	no	914340857	ncbi-curated	914340857	KP821530	KP821530.1	KP821530	1637	NULL	Bluetongue virus 4	FRA2003/01	Viruses; dsRNA viruses; Reoviridae; Sedoreovirinae; Orbivirus	NULL	France	2003	NULL	NULL	16/08/2015	16/08/2015	4	NULL	field	Corsica	NULL	E1BHK3	Mammalian
GENBANK_XML	no	914340859	ncbi-curated	914340859	KP821531	KP821531.1	KP821531	1637	NULL	Bluetongue virus 4	COR2003/02 (FRA2003-03.124)	Viruses; dsRNA viruses; Reoviridae; Sedoreovirinae; Orbivirus	NULL	France	2003	NULL	NULL	16/08/2015	16/08/2015	4	NULL	field	Corsica	NULL	E1BHK3	Mammalian
GENBANK_XML	no	914340861	ncbi-curated	914340861	KP821532	KP821532.1	KP821532	1637	NULL	Bluetongue virus 4	COR2003/06 (FRA2003-200)	Viruses; dsRNA viruses; Reoviridae; Sedoreovirinae; Orbivirus	NULL	France	2003	NULL	NULL	16/08/2015	16/08/2015	4	NULL	field	Corsica	NULL	E1BHK4	Mammalian
GENBANK_XML	no	914340863	ncbi-curated	914340863	KP821533	KP821533.1	KP821533	1638	NULL	Bluetongue virus 4	GRE1979/01	Viruses; dsRNA viruses; Reoviridae; Sedoreovirinae; Orbivirus	Ovis aries	Greece	1979	NULL	NULL	16/08/2015	16/08/2015	4	NULL	field	Madamados-Lesvos	spleen	E2BHK9	Mammalian
GENBANK_XML	no	914340865	ncbi-curated	914340865	KP821534	KP821534.1	KP821534	1638	NULL	Bluetongue virus 4	GRE1999/24	Viruses; dsRNA viruses; Reoviridae; Sedoreovirinae; Orbivirus	Ovis aries	Greece	1999	NULL	NULL	16/08/2015	16/08/2015	4	NULL	field	Mandriko-Rhodes	blood	E2BHK6	Mammalian
GENBANK_XML	no	914340867	ncbi-curated	914340867	KP821535	KP821535.1	KP821535	1638	NULL	Bluetongue virus 4	GRE1999/26	Viruses; dsRNA viruses; Reoviridae; Sedoreovirinae; Orbivirus	Culicoides obsoletus	Greece	1999	OCT	15	16/08/2015	16/08/2015	4	NULL	field	Keramidi-Magnesia	Culicoides obsoletus	BHK6	Mammalian
GENBANK_XML	no	914340869	ncbi-curated	914340869	KP821536	KP821536.1	KP821536	1638	NULL	Bluetongue virus 4	GRE2000/07	Viruses; dsRNA viruses; Reoviridae; Sedoreovirinae; Orbivirus	Ovis aries	Greece	2000	OCT	3	16/08/2015	16/08/2015	4	NULL	field	Arta	blood	E2BHK5	Mammalian
GENBANK_XML	no	914340871	ncbi-curated	914340871	KP821537	KP821537.1	KP821537	1638	NULL	Bluetongue virus 4	GRE2000/08	Viruses; dsRNA viruses; Reoviridae; Sedoreovirinae; Orbivirus	Culicoides obsoletus	Greece	2000	APR	13	16/08/2015	16/08/2015	4	NULL	field	Kavala	Culicoides obsoletus	BHK7	Mammalian
GENBANK_XML	no	914340873	ncbi-curated	914340873	KP821538	KP821538.1	KP821538	1638	NULL	Bluetongue virus 4	GRE2012/01	Viruses; dsRNA viruses; Reoviridae; Sedoreovirinae; Orbivirus	Ovis aries	Greece	2012	NOV	NULL	16/08/2015	16/08/2015	4	NULL	field	Rhodes	blood	KC1BHK1	Culicoides-Mammalian
GENBANK_XML	no	914340875	ncbi-curated	914340875	KP821539	KP821539.1	KP821539	1638	NULL	Bluetongue virus 4	GRE2012/02	Viruses; dsRNA viruses; Reoviridae; Sedoreovirinae; Orbivirus	Ovis aries	Greece	2012	NOV	NULL	16/08/2015	16/08/2015	4	NULL	field	Rhodes	blood	KC1BHK1	Culicoides-Mammalian
GENBANK_XML	no	914340877	ncbi-curated	914340877	KP821540	KP821540.1	KP821540	1638	NULL	Bluetongue virus 4	GRE2012/03	Viruses; dsRNA viruses; Reoviridae; Sedoreovirinae; Orbivirus	Ovis aries	Greece	2012	NOV	NULL	16/08/2015	16/08/2015	4	NULL	field	Rhodes	blood	KC1BHK1	Culicoides-Mammalian
GENBANK_XML	no	914340879	ncbi-curated	914340879	KP821541	KP821541.1	KP821541	1638	NULL	Bluetongue virus 4	ISR2006/12	Viruses; dsRNA viruses; Reoviridae; Sedoreovirinae; Orbivirus	Ovis aries	Israel	2006	NOV	NULL	16/08/2015	16/08/2015	4	NULL	field	Elyakim	NULL	CE1BHK1	Mammalian
GENBANK_XML	no	914340881	ncbi-curated	914340881	KP821542	KP821542.1	KP821542	1637	NULL	Bluetongue virus 24	ISR2008/02	Viruses; dsRNA viruses; Reoviridae; Sedoreovirinae; Orbivirus	Bos taurus	Israel	2008	OCT	13	16/08/2015	16/08/2015	24	NULL	field	Zde Eliahu	blood	E2BHK2	Mammalian
GENBANK_XML	no	914340883	ncbi-curated	914340883	KP821543	KP821543.1	KP821543	1637	NULL	Bluetongue virus 4	MOR2004/02	Viruses; dsRNA viruses; Reoviridae; Sedoreovirinae; Orbivirus	Ovis aries	Morocco	2004	SEP	NULL	16/08/2015	16/08/2015	4	NULL	field	El Kebir	blood	E1BHK4	Mammalian
GENBANK_XML	no	914340885	ncbi-curated	914340885	KP821544	KP821544.1	KP821544	1637	NULL	Bluetongue virus 4	MOR2009/07	Viruses; dsRNA viruses; Reoviridae; Sedoreovirinae; Orbivirus	Ovis aries	Morocco	2009	OCT	28	16/08/2015	16/08/2015	4	NULL	field	Azrou	blood	KC1	Culicoides
GENBANK_XML	no	914340887	ncbi-curated	914340887	KP821545	KP821545.1	KP821545	1637	NULL	Bluetongue virus 4	MOR2009/08	Viruses; dsRNA viruses; Reoviridae; Sedoreovirinae; Orbivirus	Ovis aries	Morocco	2009	OCT	28	16/08/2015	16/08/2015	4	NULL	field	Azrou	blood	KC1	Culicoides
GENBANK_XML	no	914340889	ncbi-curated	914340889	KP821546	KP821546.1	KP821546	1637	NULL	Bluetongue virus 4	MOR2009/09	Viruses; dsRNA viruses; Reoviridae; Sedoreovirinae; Orbivirus	Ovis aries	Morocco	2009	OCT	28	16/08/2015	16/08/2015	4	NULL	field	Azrou	blood	KC1	Culicoides
GENBANK_XML	no	914340891	ncbi-curated	914340891	KP821547	KP821547.1	KP821547	1637	NULL	Bluetongue virus 4	MOR2009/10	Viruses; dsRNA viruses; Reoviridae; Sedoreovirinae; Orbivirus	Ovis aries	Morocco	2009	OCT	29	16/08/2015	16/08/2015	4	NULL	field	Marrakesh	blood	KC1	Culicoides
GENBANK_XML	no	914340893	ncbi-curated	914340893	KP821548	KP821548.1	KP821548	1638	NULL	Bluetongue virus 4	RSArrrr/04	Viruses; dsRNA viruses; Reoviridae; Sedoreovirinae; Orbivirus	Ovis aries	South Africa	1969	NULL	NULL	16/08/2015	16/08/2015	4	NULL	reference	Cyprus	NULL	BHK9	Mammalian
GENBANK_XML	no	914340895	ncbi-curated	914340895	KP821549	KP821549.1	KP821549	1637	NULL	Bluetongue virus 4	SPA2003/03	Viruses; dsRNA viruses; Reoviridae; Sedoreovirinae; Orbivirus	Ovis aries	Spain	2003	NOV	17	16/08/2015	16/08/2015	4	NULL	field	Menorca	blood	E1BHK3	Mammalian
GENBANK_XML	no	914340897	ncbi-curated	914340897	KP821550	KP821550.1	KP821550	1637	NULL	Bluetongue virus 4	SPA2004/02	Viruses; dsRNA viruses; Reoviridae; Sedoreovirinae; Orbivirus	Ovis aries	Spain	2004	NULL	NULL	16/08/2015	16/08/2015	4	NULL	field	Cadiz-Jimena de la Frontera	blood	E1BHK1	Mammalian
GENBANK_XML	no	914340899	ncbi-curated	914340899	KP821551	KP821551.1	KP821551	1637	NULL	Bluetongue virus 4	SPA2005/02	Viruses; dsRNA viruses; Reoviridae; Sedoreovirinae; Orbivirus	Bos taurus	Spain	2005	AUG	10	16/08/2015	16/08/2015	4	NULL	field	NULL	blood	E1BHK2	Mammalian
GENBANK_XML	no	914340901	ncbi-curated	914340901	KP821552	KP821552.1	KP821552	1637	NULL	Bluetongue virus 4	SPA2010/01	Viruses; dsRNA viruses; Reoviridae; Sedoreovirinae; Orbivirus	Bos taurus	Spain	2010	SEP	NULL	16/08/2015	16/08/2015	4	NULL	field	Cadiz-Vejer de la Frontera	blood	E1C636 1BHK4	Mammalian
GENBANK_XML	no	914340903	ncbi-curated	914340903	KP821553	KP821553.1	KP821553	1638	NULL	Bluetongue virus 4	SUD1983/01	Viruses; dsRNA viruses; Reoviridae; Sedoreovirinae; Orbivirus	Bos taurus	Sudan	1983	OCT	11	16/08/2015	16/08/2015	4	NULL	field	Shambat	blood	E1BHK2	Mammalian
GENBANK_XML	no	914340905	ncbi-curated	914340905	KP821554	KP821554.1	KP821554	1637	NULL	Bluetongue virus 8	ISR2008/13	Viruses; dsRNA viruses; Reoviridae; Sedoreovirinae; Orbivirus	Bos taurus	Israel	2008	11	27	16/08/2015	16/08/2015	8	NULL	field	Rosh ha-nikra	spleen	KC2	Culicoides
GENBANK_XML	no	914340907	ncbi-curated	914340907	KP821555	KP821555.1	KP821555	1637	NULL	Bluetongue virus 8	GRE2008/01	Viruses; dsRNA viruses; Reoviridae; Sedoreovirinae; Orbivirus	Ovis aries	Greece	2008	NULL	NULL	16/08/2015	16/08/2015	8	NULL	field	Aghia Paraskevi- Lesvos	blood	KC1	Culicoides
GENBANK_XML	no	914340909	ncbi-curated	914340909	KP821556	KP821556.1	KP821556	1637	NULL	Bluetongue virus 8	NET2008/03	Viruses; dsRNA viruses; Reoviridae; Sedoreovirinae; Orbivirus	Bos taurus	Netherlands	2008	AUG	7	16/08/2015	16/08/2015	8	NULL	field	Staphorst	blood	KC1BHK1	Culicoides-Mammalian
GENBANK_XML	no	914340911	ncbi-curated	914340911	KP821557	KP821557.1	KP821557	1637	NULL	Bluetongue virus 19	RSA1998/01	Viruses; dsRNA viruses; Reoviridae; Sedoreovirinae; Orbivirus	Capra hircus	South Africa	1998	JUL	NULL	16/08/2015	16/08/2015	19	NULL	field	NULL	blood	E2CER3BHK2	Mammalian
GENBANK_XML	no	914340913	ncbi-curated	914340913	KP821558	KP821558.1	KP821558	1637	NULL	Bluetongue virus 8	RSArrrr/08	Viruses; dsRNA viruses; Reoviridae; Sedoreovirinae; Orbivirus	Ovis aries	South Africa	1937	NULL	NULL	16/08/2015	16/08/2015	8	NULL	reference	Transvaal	NULL	E2BHK7	Mammalian
GENBANK_XML	no	914340915	ncbi-curated	914340915	KP821559	KP821559.1	KP821559	1637	NULL	Bluetongue virus 8	UKG2007/06	Viruses; dsRNA viruses; Reoviridae; Sedoreovirinae; Orbivirus	Bos taurus	United Kingdom	2007	SEP	21	16/08/2015	16/08/2015	8	NULL	field	Baylham-Ipswich-Suffolk	blood	KC1	Culicoides
GENBANK_XML	no	914340917	ncbi-curated	914340917	KP821560	KP821560.1	KP821560	1637	NULL	Bluetongue virus 9	BOS2002/02	Viruses; dsRNA viruses; Reoviridae; Sedoreovirinae; Orbivirus	Ovis aries	Bosnia and Herzegovina	2002	AUG	14	16/08/2015	16/08/2015	9	NULL	field	Milici-Vlasenica-Srpska	blood	E1BHK3	Mammalian
GENBANK_XML	no	914340919	ncbi-curated	914340919	KP821561	KP821561.1	KP821561	1637	NULL	Bluetongue virus 9	BUL1999/01	Viruses; dsRNA viruses; Reoviridae; Sedoreovirinae; Orbivirus	NULL	Bulgaria	1999	SEP	29	16/08/2015	16/08/2015	9	NULL	field	NULL	NULL	E1BHK5	Mammalian
GENBANK_XML	no	914340921	ncbi-curated	914340921	KP821562	KP821562.1	KP821562	1637	NULL	Bluetongue virus 9	GRE1998/01	Viruses; dsRNA viruses; Reoviridae; Sedoreovirinae; Orbivirus	Ovis aries	Greece	1998	NOV	3	16/08/2015	16/08/2015	9	NULL	field	Afandou-Rhodes	blood	E2BHK10	Mammalian
GENBANK_XML	no	914340923	ncbi-curated	914340923	KP821563	KP821563.1	KP821563	1637	NULL	Bluetongue virus 9	GRE1999/06	Viruses; dsRNA viruses; Reoviridae; Sedoreovirinae; Orbivirus	Ovis aries	Greece	1999	SEP	29	16/08/2015	16/08/2015	9	NULL	field	Ierissos-Chalkidiki	blood	E2BHK6	Mammalian
GENBANK_XML	no	914340925	ncbi-curated	914340925	KP821564	KP821564.1	KP821564	1637	NULL	Bluetongue virus 9	GRE1999/31	Viruses; dsRNA viruses; Reoviridae; Sedoreovirinae; Orbivirus	Bos taurus	Greece	1999	NOV	25	16/08/2015	16/08/2015	9	NULL	field	Aghia Paraskevi- Lesvos	spleen	KC1	Culicoides
GENBANK_XML	no	914340927	ncbi-curated	914340927	KP821565	KP821565.1	KP821565	1635	NULL	Bluetongue virus 9	ITL2003/01	Viruses; dsRNA viruses; Reoviridae; Sedoreovirinae; Orbivirus	Ovis aries	Italy	2003	APR	2	16/08/2015	16/08/2015	9	NULL	field	Nissoria-Enna-Sicily	spleen	BHK7	Mammalian
GENBANK_XML	no	914340929	ncbi-curated	914340929	KP821566	KP821566.1	KP821566	1637	NULL	Bluetongue virus 9	KOS2001/01	Viruses; dsRNA viruses; Reoviridae; Sedoreovirinae; Orbivirus	Ovis aries	Kosovo	2001	SEP	12	16/08/2015	16/08/2015	9	NULL	field	Sadovine-Viti-Pristina	blood	E1BHK2	Mammalian
GENBANK_XML	no	914340931	ncbi-curated	914340931	KP821567	KP821567.1	KP821567	1637	NULL	Bluetongue virus 9	KOS2001/03	Viruses; dsRNA viruses; Reoviridae; Sedoreovirinae; Orbivirus	Ovis aries	Kosovo	2001	AUG	30	16/08/2015	16/08/2015	9	NULL	field	Sllatina-Podujevo-Pristina	blood	E1BHK4	Mammalian
GENBANK_XML	no	914340933	ncbi-curated	914340933	KP821568	KP821568.1	KP821568	1635	NULL	Bluetongue virus 9	LIB2008/08	Viruses; dsRNA viruses; Reoviridae; Sedoreovirinae; Orbivirus	Ovis aries	Libya	2008	SEP	NULL	16/08/2015	16/08/2015	9	NULL	field	NULL	blood	KC1BHK1	Culicoides-Mammalian
GENBANK_XML	no	914340935	ncbi-curated	914340935	KP821569	KP821569.1	KP821569	1635	NULL	Bluetongue virus 9	LIB2008/03	Viruses; dsRNA viruses; Reoviridae; Sedoreovirinae; Orbivirus	Ovis aries	Libya	2008	SEP	NULL	16/08/2015	16/08/2015	9	NULL	field	NULL	blood	KC2	Culicoides
GENBANK_XML	no	914340937	ncbi-curated	914340937	KP821570	KP821570.1	KP821570	1635	NULL	Bluetongue virus 9	RSArrrr/09	Viruses; dsRNA viruses; Reoviridae; Sedoreovirinae; Orbivirus	Ovis aries	South Africa	1942	NULL	NULL	16/08/2015	16/08/2015	9	NULL	reference	Pretoria-Transvaal	NULL	E3BHK8	Mammalian
GENBANK_XML	no	914340939	ncbi-curated	914340939	KP821571	KP821571.1	KP821571	1635	NULL	Bluetongue virus 9	RSAvvv1/09	Viruses; dsRNA viruses; Reoviridae; Sedoreovirinae; Orbivirus	Ovis aries	South Africa	1942	NULL	NULL	16/08/2015	16/08/2015	9	NULL	vaccine	Pretoria-Transvaal	NULL	E70BHK2P1BHK3P7BHK6	Mammalian
GENBANK_XML	no	914340941	ncbi-curated	914340941	KP821572	KP821572.1	KP821572	1637	NULL	Bluetongue virus 9	SER2001/01	Viruses; dsRNA viruses; Reoviridae; Sedoreovirinae; Orbivirus	Ovis aries	Serbia	2001	OCT	7	16/08/2015	16/08/2015	9	NULL	field	NULL	blood	E1BHK4	Mammalian
GENBANK_XML	no	914340943	ncbi-curated	914340943	KP821573	KP821573.1	KP821573	1637	NULL	Bluetongue virus 9	TUR1998/02	Viruses; dsRNA viruses; Reoviridae; Sedoreovirinae; Orbivirus	Ovis aries	Turkey	1998	OCT	NULL	16/08/2015	16/08/2015	9	NULL	field	Aydin	blood	E1BHK1V2	Mammalian
