sequence_id	gb_primary_accession	gb_locus	gb_segment	gb_segment_corrected	gb_isolate	gb_isolate_corrected	gb_host	gb_host_corrected	gb_country	gb_country_corrected	gb_collection_year	gb_collection_year_corrected	gb_collection_month	gb_collection_month_corrected	gb_collection_month_day	gb_collection_month_day_corrected	gb_serotype	gb_serotype_corrected
KP821558	KP821558	KP821558	6		RSArrrr/08		Ovis aries		South Africa		1937						8	
KP821559	KP821559	KP821559	6		UKG2007/06		Bos taurus		United Kingdom		2007						8	
KP821560	KP821560	KP821560	6		BOS2002/02		Ovis aries		Bosnia and Herzegovina		2002						9	
KP821561	KP821561	KP821561	6		BUL1999/01				Bulgaria		1999						9	
KP821562	KP821562	KP821562	6		GRE1998/01		Ovis aries		Greece		1998						9	
KP821563	KP821563	KP821563	6		GRE1999/06		Ovis aries		Greece		1999						9	
KP821564	KP821564	KP821564	6		GRE1999/31		Bos taurus		Greece		1999						9	
KP821565	KP821565	KP821565	6		ITL2003/01		Ovis aries		Italy		2003						9	
KP821566	KP821566	KP821566	6		KOS2001/01		Ovis aries		Kosovo		2001						9	
KP821567	KP821567	KP821567	6		KOS2001/03		Ovis aries		Kosovo		2001						9	
KP821568	KP821568	KP821568	6		LIB2008/08		Ovis aries		Libya		2008						9	
KP821569	KP821569	KP821569	6		LIB2008/03		Ovis aries		Libya		2008						9	
KP821570	KP821570	KP821570	6		RSArrrr/09		Ovis aries		South Africa		1942						9	
KP821571	KP821571	KP821571	6		RSAvvv1/09		Ovis aries		South Africa		1942						9	
KP821572	KP821572	KP821572	6		SER2001/01		Ovis aries		Serbia		2001						9	
KP821573	KP821573	KP821573	6		TUR1998/02		Ovis aries		Turkey		1998						9	
KP821574	KP821574	KP821574	6		TUR2000/03				Turkey		2000						9	
KP821575	KP821575	KP821575	6		TUR2001/02		Ovis aries		Turkey		2001						9	
KP821576	KP821576	KP821576	6		CAR1982/04				Cameroon		1982						14	
KP821577	KP821577	KP821577	6		POL2012/01		Bos taurus		Poland		2012						14	
KP821578	KP821578	KP821578	6		RUS2011/01		Bos taurus		Russia		2011						14	
KP821579	KP821579	KP821579	6		SPA2012/01		Bos taurus		Spain		2012						14	
KP821580	KP821580	KP821580	6		ISR2006/11		Ovis aries		Israel		2006						15	
KP821581	KP821581	KP821581	6		8 inactivated vaccine				Netherlands								8	
KP821582	KP821582	KP821582	6		RSArrrr/05		Ovis aries		South Africa		1953						5	
KP821583	KP821583	KP821583	6		RSArrrr/12		Ovis aries		South Africa		1941						12	
KP821584	KP821584	KP821584	7		FRA2008/27		Bos taurus		France		2008						8	
KP821585	KP821585	KP821585	7		FRA2008/28		Bos taurus		France		2008						8	
KP821586	KP821586	KP821586	7		FRA2008/29		Bos taurus		France		2008						8	
KP821587	KP821587	KP821587	7		RSArrrr/14		Ovis aries		South Africa		1959						14	
KP821588	KP821588	KP821588	7		RSArrrr/15		Bos taurus		South Africa		1960						15	
KP821589	KP821589	KP821589	7		CYP2004/01		Ovis aries		Cyprus		2004						16	
KP821590	KP821590	KP821590	7		CYP2006/01		Bos taurus		Cyprus		2006						16	
KP821591	KP821591	KP821591	7		CYP2010/03		Bos taurus		Cyprus		2010						16	
KP821592	KP821592	KP821592	7		COR2004/01		Ovis aries		France		2004						16	
KP821593	KP821593	KP821593	7		GRE1999/13		Ovis aries		Greece		1999						16	
KP821594	KP821594	KP821594	7		GRE2008/10		Ovis aries		Greece		2008						16	
KP821595	KP821595	KP821595	7		ISR2001/18		Ovis aries		Israel		2001						16	
KP821596	KP821596	KP821596	7		ISR2008/03		Capra hircus		Israel		2008						16	
KP821597	KP821597	KP821597	7		RSAvvvv/16		Ovis aries		South Africa		1960						16	
KP821598	KP821598	KP821598	7		TUR2000/01				Turkey		2000						16	
KP821599	KP821599	KP821599	7		ALG2006/01		Ovis aries		Algeria		2006						1	
KP821600	KP821600	KP821600	7		ALG2006/04		Ovis aries		Algeria		2006						1	
KP821601	KP821601	KP821601	7		ALG2008/10		Ovis aries		Algeria		2008						1	
KP821602	KP821602	KP821602	7		CAR1982/01		Ovis aries		Cameroon		1982						1	
KP821603	KP821603	KP821603	7		FRA2008/21		Bos taurus		France		2008						1	
KP821604	KP821604	KP821604	7		FRA2008/22		Ovis aries		France		2008						1	
KP821605	KP821605	KP821605	7		FRA2008/23		Bos taurus		France		2008						1	
KP821606	KP821606	KP821606	7		FRA2008/25		Bos taurus		France		2008						1	
KP821607	KP821607	KP821607	7		FRA2008/26		Bos taurus		France		2008						1	
KP821608	KP821608	KP821608	7		GIB2007/06		Ovis aries		Gibraltar		2007						1	
KP821609	KP821609	KP821609	7		GRE2001/01		Ovis aries		Greece		2001						1	
KP821610	KP821610	KP821610	7		GRE2001/06		Ovis aries		Greece		2001						1	
KP821611	KP821611	KP821611	7		GRE2001/10		Ovis aries		Greece		2001						1	
KP821612	KP821612	KP821612	7		LIB2007/06		Ovis aries		Libya		2007						1	
KP821613	KP821613	KP821613	7		MOR2006/06		Ovis aries		Morocco		2006						1	
KP821614	KP821614	KP821614	7		MOR2007/01		Ovis aries		Morocco		2007						1	
KP821615	KP821615	KP821615	7		MOR2007/02		Ovis aries		Morocco		2007						1	
KP821616	KP821616	KP821616	7		MOR2007/03		Ovis aries		Morocco		2007						1	
KP821617	KP821617	KP821617	7		MOR2007/04		Ovis aries		Morocco		2007						1	
KP821618	KP821618	KP821618	7		MOR2009/01		Ovis aries		Morocco		2009						1	
KP821619	KP821619	KP821619	7		MOR2009/04		Ovis aries		Morocco		2009						1	
KP821620	KP821620	KP821620	7		MOR2009/06		Ovis aries		Morocco		2009						1	
KP821621	KP821621	KP821621	7		RSAvvvv/01		Ovis aries		South Africa		1958						1	
KP821622	KP821622	KP821622	7		SPA2007/04		Bos taurus		Spain		2007						1	
KP821623	KP821623	KP821623	7		SPA2007/05		Bos taurus		Spain		2007						1	
KP821624	KP821624	KP821624	7		SPA2008/01		Ovis aries		Spain		2008						1	
KP821625	KP821625	KP821625	7		SPA2009/01		Bos taurus		Spain		2009						1	
KP821626	KP821626	KP821626	7		SUD1987/01				Sudan		1987						1	
KP821627	KP821627	KP821627	7		TUN2007/01		Ovis aries		Tunisia		2007						1	
KP821628	KP821628	KP821628	7		FRA2001/01				France		2001						2	
KP821629	KP821629	KP821629	7		FRA2001/03		Ovis aries		France		2001						2	
KP821630	KP821630	KP821630	7		FRA2001/06		Ovis aries		France		2001						2	
KP821631	KP821631	KP821631	7		ISR2001/17		Ovis aries		Israel		2001						2	
KP821632	KP821632	KP821632	7		ITL2002/02		Culicoides pulicaris		Italy		2002						2	
KP821633	KP821633	KP821633	7		ITL2002/07		Ovis aries		Italy		2002						2	
KP821634	KP821634	KP821634	7		RSArrrr/02		Ovis aries		South Africa		1959						2	
KP821635	KP821635	KP821635	7		RSAvvvv/02		Ovis aries		South Africa		1958						2	
KP821636	KP821636	KP821636	7		SAD2001/01		Ovis aries		Italy		2001						2	
KP821637	KP821637	KP821637	7		SAD2001/03		Ovis aries		Italy		2001						2	
KP821638	KP821638	KP821638	7		SAD2002/02		Ovis aries		Italy		2002						2	
KP821639	KP821639	KP821639	7		SPA2005/01		Bos taurus		Spain		2005						2	
KP821640	KP821640	KP821640	7		SUD1983/05		Culicoides sp.		Sudan		1983						2	
KP821641	KP821641	KP821641	7		TUN2000/01				Tunisia		2000						2	
KP821642	KP821642	KP821642	7		CYP1958/01				Cyprus		1958						3	
KP821643	KP821643	KP821643	7		RSArrrr/03		Ovis aries		South Africa		1943						3	
KP821644	KP821644	KP821644	7		CYP1969/01		Bos taurus		Cyprus		1969						4	
KP821645	KP821645	KP821645	7		CYP2004/03		Ovis aries		Cyprus		2004						4	
KP821646	KP821646	KP821646	7		CYP2011/01		Ovis aries		Cyprus		2011						4	
KP821647	KP821647	KP821647	7		CYP2011/02		Ovis aries		Cyprus		2011						4	
KP821648	KP821648	KP821648	7		CYP2011/03		Ovis aries		Cyprus		2011						4	
KP821649	KP821649	KP821649	7		CYP2011/04		Ovis aries		Cyprus		2011						4	
KP821650	KP821650	KP821650	7		CYP2011/05		Ovis aries		Cyprus		2011						4	
KP821651	KP821651	KP821651	7		EGY1977/01				Egypt		1977						4	
KP821652	KP821652	KP821652	7		FRA2003/01				France		2003						4	
KP821653	KP821653	KP821653	7		FRA2003-03.124				France		2003						4	
KP821654	KP821654	KP821654	7		FRA2003-200				France		2003						4	
KP821655	KP821655	KP821655	7		GRE1979/01		Ovis aries		Greece		1979						4	
KP821656	KP821656	KP821656	7		GRE1999/24		Ovis aries		Greece		1999						4	
KP821657	KP821657	KP821657	7		GRE1999/26		Culicoides obsoletus		Greece		1999						4	
KP821658	KP821658	KP821658	7		GRE2000/07		Ovis aries		Greece		2000						4	
KP821659	KP821659	KP821659	7		GRE2000/08		Culicoides obsoletus		Greece		2000						4	
KP821660	KP821660	KP821660	7		GRE2012/01		Ovis aries		Greece		2012						4	
KP821661	KP821661	KP821661	7		GRE2012/02		Ovis aries		Greece		2012						4	
KP821662	KP821662	KP821662	7		GRE2012/03		Ovis aries		Greece		2012						4	
KP821663	KP821663	KP821663	7		ISR2006/12		Ovis aries		Israel		2006						4	
KP821664	KP821664	KP821664	7		ISR2008/02		Bos taurus		Israel		2008						4	
KP821665	KP821665	KP821665	7		MOR2004/02		Ovis aries		Morocco		2004						4	
KP821666	KP821666	KP821666	7		MOR2009/07		Ovis aries		Morocco		2009						4	
KP821667	KP821667	KP821667	7		MOR2009/08		Ovis aries		Morocco		2009						4	
KP821668	KP821668	KP821668	7		MOR2009/09		Ovis aries		Morocco		2009						4	
KP821669	KP821669	KP821669	7		MOR2009/10		Ovis aries		Morocco		2009						4	
KP821670	KP821670	KP821670	7		RSArrrr/04		Ovis aries		South Africa		1969						4	
KP821671	KP821671	KP821671	7		SPA2003/03		Ovis aries		Spain		2003						4	
KP821672	KP821672	KP821672	7		SPA2004/02		Ovis aries		Spain		2004						4	
KP821673	KP821673	KP821673	7		SPA2005/02		Bos taurus		Spain		2005						4	
KP821674	KP821674	KP821674	7		SPA2010/01		Bos taurus		Spain		2010						4	
KP821675	KP821675	KP821675	7		SUD1983/01		Bos taurus		Sudan		1983						4	
KP821676	KP821676	KP821676	7		ISR2008/13		Bos taurus		Israel		2008						8	
KP821677	KP821677	KP821677	7		GRE2008/01		Ovis aries		Greece		2008						8	
KP821678	KP821678	KP821678	7		NET2008/03		Bos taurus		Netherlands		2008						8	
KP821679	KP821679	KP821679	7		RSA1998/01		Capra hircus		South Africa		1998						8	
KP821680	KP821680	KP821680	7		RSArrrr/08		Ovis aries		South Africa		1937						8	
KP821681	KP821681	KP821681	7		UKG2007/06		Bos taurus		United Kingdom		2007						8	
KP821682	KP821682	KP821682	7		BOS2002/02		Ovis aries		Bosnia and Herzegovina		2002						9	
KP821683	KP821683	KP821683	7		BUL1999/01				Bulgaria		1999						9	
KP821684	KP821684	KP821684	7		GRE1998/01		Ovis aries		Greece		1998						9	
KP821685	KP821685	KP821685	7		GRE1999/06		Ovis aries		Greece		1999						9	
KP821686	KP821686	KP821686	7		GRE1999/31		Bos taurus		Greece		1999						9	
KP821687	KP821687	KP821687	7		ITL2003/01		Ovis aries		Italy		2003						9	
KP821688	KP821688	KP821688	7		KOS2001/01		Ovis aries		Kosovo		2001						9	
KP821689	KP821689	KP821689	7		KOS2001/03		Ovis aries		Kosovo		2001						9	
KP821690	KP821690	KP821690	7		LIB2008/08		Ovis aries		Libya		2008						9	
KP821691	KP821691	KP821691	7		LIB2008/03		Ovis aries		Libya		2008						9	
KP821692	KP821692	KP821692	7		RSArrrr/09		Ovis aries		South Africa		1942						9	
KP821693	KP821693	KP821693	7		RSAvvv1/09		Ovis aries		South Africa		1942						9	
KP821694	KP821694	KP821694	7		SER2001/01		Ovis aries		Serbia		2001						9	
KP821695	KP821695	KP821695	7		TUR1998/02		Ovis aries		Turkey		1998						9	
KP821696	KP821696	KP821696	7		TUR2000/03				Turkey		2000						9	
KP821697	KP821697	KP821697	7		TUR2001/02		Ovis aries		Turkey		2001						9	
KP821698	KP821698	KP821698	7		CAR1982/04				Cameroon		1982						14	
KP821699	KP821699	KP821699	7		POL2012/01		Bos taurus		Poland		2012						14	
KP821700	KP821700	KP821700	7		RUS2011/01		Bos taurus		Russia		2011						14	
KP821701	KP821701	KP821701	7		SPA2012/01		Bos taurus		Spain		2012						14	
KP821702	KP821702	KP821702	7		ISR2006/11		Ovis aries		Israel		2006						15	
KP821703	KP821703	KP821703	7		8 inactivated vaccine				Netherlands								8	
KP821704	KP821704	KP821704	8		FRA2008/27		Bos taurus		France		2008						8	
KP821705	KP821705	KP821705	8		FRA2008/28		Bos taurus		France		2008						8	
KP821706	KP821706	KP821706	8		FRA2008/29		Bos taurus		France		2008						8	
KP821707	KP821707	KP821707	8		RSArrrr/14		Ovis aries		South Africa		1959						14	
KP821708	KP821708	KP821708	8		RSArrrr/15		Bos taurus		South Africa		1960						15	
KP821709	KP821709	KP821709	8		CYP2004/01		Ovis aries		Cyprus		2004						16	
KP821710	KP821710	KP821710	8		CYP2006/01		Bos taurus		Cyprus		2006						16	
KP821711	KP821711	KP821711	8		CYP2010/03		Bos taurus		Cyprus		2010						16	
KP821712	KP821712	KP821712	8		COR2004/01		Ovis aries		France		2004						16	
KP821713	KP821713	KP821713	8		GRE1999/13		Ovis aries		Greece		1999						16	
KP821714	KP821714	KP821714	8		GRE2008/10		Ovis aries		Greece		2008						16	
KP821715	KP821715	KP821715	8		ISR2001/18		Ovis aries		Israel		2001						16	
KP821716	KP821716	KP821716	8		ISR2008/03		Capra hircus		Israel		2008						16	
KP821717	KP821717	KP821717	8		RSAvvvv/16		Ovis aries		South Africa		1960						16	
KP821718	KP821718	KP821718	8		TUR2000/01				Turkey		2000						16	
KP821719	KP821719	KP821719	8		ALG2006/01		Ovis aries		Algeria		2006						1	
KP821720	KP821720	KP821720	8		ALG2006/04		Ovis aries		Algeria		2006						1	
KP821721	KP821721	KP821721	8		ALG2008/10		Ovis aries		Algeria		2008						1	
KP821722	KP821722	KP821722	8		CAR1982/01		Ovis aries		Cameroon		1982						1	
KP821723	KP821723	KP821723	8		FRA2008/21		Bos taurus		France		2008						1	
KP821724	KP821724	KP821724	8		FRA2008/22		Ovis aries		France		2008						1	
KP821725	KP821725	KP821725	8		FRA2008/23		Bos taurus		France		2008						1	
KP821726	KP821726	KP821726	8		FRA2008/25		Bos taurus		France		2008						1	
KP821727	KP821727	KP821727	8		FRA2008/26		Bos taurus		France		2008						1	
KP821728	KP821728	KP821728	8		GIB2007/06		Ovis aries		Gibraltar		2007						1	
KP821729	KP821729	KP821729	8		GRE2001/01		Ovis aries		Greece		2001						1	
KP821730	KP821730	KP821730	8		GRE2001/06		Ovis aries		Greece		2001						1	
KP821731	KP821731	KP821731	8		GRE2001/10		Ovis aries		Greece		2001						1	
KP821732	KP821732	KP821732	8		LIB2007/06		Ovis aries		Libya		2007						1	
KP821733	KP821733	KP821733	8		MOR2006/06		Ovis aries		Morocco		2006						1	
KP821734	KP821734	KP821734	8		MOR2007/01		Ovis aries		Morocco		2007						1	
KP821735	KP821735	KP821735	8		MOR2007/02		Ovis aries		Morocco		2007						1	
KP821736	KP821736	KP821736	8		MOR2007/03		Ovis aries		Morocco		2007						1	
KP821737	KP821737	KP821737	8		MOR2007/04		Ovis aries		Morocco		2007						1	
KP821738	KP821738	KP821738	8		MOR2009/01		Ovis aries		Morocco		2009						1	
KP821739	KP821739	KP821739	8		MOR2009/04		Ovis aries		Morocco		2009						1	
KP821740	KP821740	KP821740	8		MOR2009/06		Ovis aries		Morocco		2009						1	
KP821741	KP821741	KP821741	8		RSAvvvv/01		Ovis aries		South Africa		1958						1	
KP821742	KP821742	KP821742	8		SPA2007/04		Bos taurus		Spain		2007						1	
KP821743	KP821743	KP821743	8		SPA2007/05		Bos taurus		Spain		2007						1	
KP821744	KP821744	KP821744	8		SPA2008/01		Ovis aries		Spain		2008						1	
KP821745	KP821745	KP821745	8		SPA2009/01		Bos taurus		Spain		2009						1	
KP821746	KP821746	KP821746	8		SUD1987/01				Sudan		1987						1	
KP821747	KP821747	KP821747	8		TUN2007/01		Ovis aries		Tunisia		2007						1	
KP821748	KP821748	KP821748	8		FRA2001/01				France		2001						2	
KP821749	KP821749	KP821749	8		FRA2001/03		Ovis aries		France		2001						2	
KP821750	KP821750	KP821750	8		FRA2001/06		Ovis aries		France		2001						2	
KP821751	KP821751	KP821751	8		ISR2001/17		Ovis aries		Israel		2001						2	
KP821752	KP821752	KP821752	8		ITL2002/02		Culicoides pulicaris		Italy		2002						2	
KP821753	KP821753	KP821753	8		ITL2002/07		Ovis aries		Italy		2002						2	
KP821754	KP821754	KP821754	8		RSArrrr/02		Ovis aries		South Africa		1959						2	
KP821755	KP821755	KP821755	8		RSAvvvv/02		Ovis aries		South Africa		1958						2	
KP821756	KP821756	KP821756	8		SAD2001/01		Ovis aries		Italy		2001						2	
KP821757	KP821757	KP821757	8		SAD2001/03		Ovis aries		Italy		2001						2	
KP821758	KP821758	KP821758	8		SAD2002/02		Ovis aries		Italy		2002						2	
KP821759	KP821759	KP821759	8		SPA2005/01		Bos taurus		Spain		2005						2	
KP821760	KP821760	KP821760	8		SUD1983/05		Culicoides sp.		Sudan		1983						2	
KP821761	KP821761	KP821761	8		TUN2000/01				Tunisia		2000						2	
KP821762	KP821762	KP821762	8		CYP1958/01				Cyprus		1958						3	
KP821763	KP821763	KP821763	8		RSArrrr/03		Ovis aries		South Africa		1943						3	
KP821764	KP821764	KP821764	8		CYP1969/01		Bos taurus		Cyprus		1969						4	
KP821765	KP821765	KP821765	8		CYP2004/03		Ovis aries		Cyprus		2004						4	
KP821766	KP821766	KP821766	8		CYP2011/01		Ovis aries		Cyprus		2011						4	
KP821767	KP821767	KP821767	8		CYP2011/02		Ovis aries		Cyprus		2011						4	
KP821768	KP821768	KP821768	8		CYP2011/03		Ovis aries		Cyprus		2011						4	
KP821769	KP821769	KP821769	8		CYP2011/04		Ovis aries		Cyprus		2011						4	
KP821770	KP821770	KP821770	8		CYP2011/05		Ovis aries		Cyprus		2011						4	
KP821771	KP821771	KP821771	8		EGY1977/01				Egypt		1977						4	
KP821772	KP821772	KP821772	8		FRA2003/01				France		2003						4	
KP821773	KP821773	KP821773	8		FRA2003-03.124				France		2003						4	
KP821774	KP821774	KP821774	8		FRA2003-200				France		2003						4	
KP821775	KP821775	KP821775	8		GRE1979/01		Ovis aries		Greece		1979						4	
KP821776	KP821776	KP821776	8		GRE1999/24		Ovis aries		Greece		1999						4	
KP821777	KP821777	KP821777	8		GRE1999/26		Culicoides obsoletus		Greece		1999						4	
KP821778	KP821778	KP821778	8		GRE2000/07		Ovis aries		Greece		2000						4	
KP821779	KP821779	KP821779	8		GRE2000/08		Culicoides obsoletus		Greece		2000						4	
KP821780	KP821780	KP821780	8		GRE2012/01		Ovis aries		Greece		2012						4	
KP821781	KP821781	KP821781	8		GRE2012/02		Ovis aries		Greece		2012						4	
KP821782	KP821782	KP821782	8		GRE2012/03		Ovis aries		Greece		2012						4	
KP821783	KP821783	KP821783	8		ISR2006/12		Ovis aries		Israel		2006						4	
KP821784	KP821784	KP821784	8		ISR2008/02		Bos taurus		Israel		2008						4	
KP821785	KP821785	KP821785	8		MOR2004/02		Ovis aries		Morocco		2004						4	
KP821786	KP821786	KP821786	8		MOR2009/07		Ovis aries		Morocco		2009						4	
KP821787	KP821787	KP821787	8		MOR2009/08		Ovis aries		Morocco		2009						4	
KP821788	KP821788	KP821788	8		MOR2009/09		Ovis aries		Morocco		2009						4	
KP821789	KP821789	KP821789	8		MOR2009/10		Ovis aries		Morocco		2009						4	
KP821790	KP821790	KP821790	8		RSArrrr/04		Ovis aries		South Africa		1969						4	
KP821791	KP821791	KP821791	8		SPA2003/03		Ovis aries		Spain		2003						4	
KP821792	KP821792	KP821792	8		SPA2004/02		Ovis aries		Spain		2004						4	
KP821793	KP821793	KP821793	8		SPA2005/02		Bos taurus		Spain		2005						4	
KP821794	KP821794	KP821794	8		SPA2010/01		Bos taurus		Spain		2010						4	
KP821795	KP821795	KP821795	8		SUD1983/01		Bos taurus		Sudan		1983						4	
KP821796	KP821796	KP821796	8		ISR2008/13		Bos taurus		Israel		2008						8	
KP821797	KP821797	KP821797	8		GRE2008/01		Ovis aries		Greece		2008						8	
KP821798	KP821798	KP821798	8		NET2008/03		Bos taurus		Netherlands		2008						8	
KP821799	KP821799	KP821799	8		RSA1998/01		Capra hircus		South Africa		1998						8	
KP821800	KP821800	KP821800	8		RSArrrr/08		Ovis aries		South Africa		1937						8	
KP821801	KP821801	KP821801	8		UKG2007/06		Bos taurus		United Kingdom		2007						8	
KP821802	KP821802	KP821802	8		BOS2002/02		Ovis aries		Bosnia and Herzegovina		2002						9	
KP821803	KP821803	KP821803	8		BUL1999/01				Bulgaria		1999						9	
KP821804	KP821804	KP821804	8		GRE1998/01		Ovis aries		Greece		1998						9	
KP821805	KP821805	KP821805	8		GRE1999/06		Ovis aries		Greece		1999						9	
KP821806	KP821806	KP821806	8		GRE1999/31		Bos taurus		Greece		1999						9	
KP821807	KP821807	KP821807	8		ITL2003/01		Ovis aries		Italy		2003						9	
KP821808	KP821808	KP821808	8		KOS2001/01		Ovis aries		Kosovo		2001						9	
KP821809	KP821809	KP821809	8		KOS2001/03		Ovis aries		Kosovo		2001						9	
KP821810	KP821810	KP821810	8		LIB2008/08		Ovis aries		Libya		2008						9	
KP821811	KP821811	KP821811	8		LIB2008/03		Ovis aries		Libya		2008						9	
KP821812	KP821812	KP821812	8		RSArrrr/09		Ovis aries		South Africa		1942						9	
KP821813	KP821813	KP821813	8		RSAvvv1/09		Ovis aries		South Africa		1942						9	
KP821814	KP821814	KP821814	8		SER2001/01		Ovis aries		Serbia		2001						9	
KP821815	KP821815	KP821815	8		TUR1998/02		Ovis aries		Turkey		1998						9	
KP821816	KP821816	KP821816	8		TUR2000/03				Turkey		2000						9	
KP821817	KP821817	KP821817	8		TUR2001/02		Ovis aries		Turkey		2001						9	
KP821818	KP821818	KP821818	8		CAR1982/04				Cameroon		1982						14	
KP821819	KP821819	KP821819	8		POL2012/01		Bos taurus		Poland		2012						14	
KP821820	KP821820	KP821820	8		RUS2011/01		Bos taurus		Russia		2011						14	
KP821821	KP821821	KP821821	8		SPA2012/01		Bos taurus		Spain		2012						14	
KP821822	KP821822	KP821822	8		ISR2006/11		Ovis aries		Israel		2006						15	
KP821823	KP821823	KP821823	8		8 inactivated vaccine				Netherlands								8	
KP821824	KP821824	KP821824	9		FRA2008/27		Bos taurus		France		2008						8	
KP821825	KP821825	KP821825	9		FRA2008/28		Bos taurus		France		2008						8	
KP821826	KP821826	KP821826	9		FRA2008/29		Bos taurus		France		2008						8	
KP821827	KP821827	KP821827	9		14RSArrrr/14		Ovis aries		South Africa		1959						14	
