sequence_id	sample_type	place_sampled	tissue_sampled	passage_history	passage_cells	pmid_reference	alt_reference	alt_reference_url
KP821535	field	Keramidi-Magnesia	Culicoides obsoletus	BHK6	Mammalian	26252219		
KP821536	field	Arta	blood	E2BHK5	Mammalian	26252219		
KP821537	field	Kavala	Culicoides obsoletus	BHK7	Mammalian	26252219		
KP821538	field	Rhodes	blood	KC1BHK1	Culicoides-Mammalian	26252219		
KP821539	field	Rhodes	blood	KC1BHK1	Culicoides-Mammalian	26252219		
KP821540	field	Rhodes	blood	KC1BHK1	Culicoides-Mammalian	26252219		
KP821541	field	Elyakim		CE1BHK1	Mammalian	26252219		
KP821542	field	Zde Eliahu	blood	E2BHK2	Mammalian	26252219		
KP821543	field	El Kebir	blood	E1BHK4	Mammalian	26252219		
KP821544	field	Azrou	blood	KC1	Culicoides	26252219		
KP821545	field	Azrou	blood	KC1	Culicoides	26252219		
KP821546	field	Azrou	blood	KC1	Culicoides	26252219		
KP821547	field	Marrakesh	blood	KC1	Culicoides	26252219		
KP821548	reference	Cyprus		BHK9	Mammalian	26252219		
KP821549	field	Menorca	blood	E1BHK3	Mammalian	26252219		
KP821550	field	Cadiz-Jimena de la Frontera	blood	E1BHK1	Mammalian	26252219		
KP821551	field		blood	E1BHK2	Mammalian	26252219		
KP821552	field	Cadiz-Vejer de la Frontera	blood	E1C6/36 1BHK4	Mammalian	26252219		
KP821553	field	Shambat	blood	E1BHK2	Mammalian	26252219		
KP821554	field	Rosh ha-nikra	spleen	KC2	Culicoides	26252219		
KP821555	field	Aghia Paraskevi- Lesvos	blood	KC1	Culicoides	26252219		
KP821556	field	Staphorst	blood	KC1BHK1	Culicoides-Mammalian	26252219		
KP821557	field		blood	E2CER3BHK2	Mammalian	26252219		
KP821558	reference	Transvaal		E2BHK7	Mammalian	26252219		
KP821559	field	Baylham-Ipswich-Suffolk	blood	KC1	Culicoides	26252219		
KP821560	field	Milici-Vlasenica-Srpska	blood	E1BHK3	Mammalian	26252219		
KP821561	field			E1BHK5	Mammalian	26252219		
KP821562	field	Afandou-Rhodes	blood	E2BHK10	Mammalian	26252219		
KP821563	field	Ierissos-Chalkidiki	blood	E2BHK6	Mammalian	26252219		
KP821564	field	Aghia Paraskevi- Lesvos	spleen	KC1	Culicoides	26252219		
KP821565	field	Nissoria-Enna-Sicily	spleen	BHK7	Mammalian	26252219		
KP821566	field	Sadovine-Viti-Pristina	blood	E1BHK2	Mammalian	26252219		
KP821567	field	Sllatina-Podujevo-Pristina	blood	E1BHK4	Mammalian	26252219		
KP821568	field		blood	KC1BHK1	Culicoides-Mammalian	26252219		
KP821569	field		blood	KC2	Culicoides	26252219		
KP821570	reference	Pretoria-Transvaal		E3BHK8	Mammalian	26252219		
KP821571	vaccine	Pretoria-Transvaal		E70BHK2P1BHK3P7BHK6	Mammalian	26252219		
KP821572	field		blood	E1BHK4	Mammalian	26252219		
KP821573	field	Aydin	blood	E1BHK1V2	Mammalian	26252219		
KP821574	field	Manisa		E2BHK9	Mammalian	26252219		
KP821575	field	Aydin	blood	E1BHK1V1BHK1	Mammalian	26252219		
KP821576	field			E2BHK3	Mammalian	26252219		
KP821577	field	Sokolka poviat	blood	KC3BHK1	Culicoides-Mammalian	26252219		
KP821578	field	Smolensk-Galloway-Tsineevo-Veshkovsk-Ugra	blood	E2V3KIDNEY2V1	Mammalian	26252219		
KP821579	field		blood	E1BHK1V2	Mammalian	26252219		
KP821580	field	Yachini		CE1BHK1	Mammalian	26252219		
KP821581	vaccine inactivated					26252219		
KP821582	reference	Machadodorp-Transvaal		E2BHK6	Mammalian	26252219		
KP821583	reference	Pretoria-Transvaal		E1BHK7	Mammalian	26252219		
KP821584	field	Lagruere-Lot et Garonne-Aquitaine	blood	E1BHK4	Mammalian	26252219		
KP821585	field	Romestaing-Lot et Garonne-Aquitaine	blood	E1BHK3	Mammalian	26252219		
KP821586	field	Bieujac-Gironde-Aquitaine	blood	E1BHK3	Mammalian	26252219		
KP821587	reference	Ermelo-Transvaal-Natal		E1BHK11	Mammalian	26252219		
KP821588	reference	Ermelo-Onderstepoort		E1LK6BHK6	Mammalian	26252219		
KP821589	field	Ammochostos-Achna	blood	VIBHK4	Mammalian	26252219		
KP821590	field	Athalassa	blood	E1BHK2	Mammalian	26252219		
KP821591	field	Nicosia	blood	KC1	Culicoides	26252219		
KP821592	field	Corsica	blood	E1BHK3	Mammalian	26252219		
KP821593	field	Damatria-Rhodes	blood	E2BHK11	Mammalian	26252219		
KP821594	field	Madamados-Lesvos	blood	KC1	Culicoides	26252219		
KP821595	field	Yokneam		E1BHK4	Mammalian	26252219		
KP821596	field	Ein Kamonim	spleen	E1BHK2	Mammalian	26252219		
KP821597	vaccine	Hazara-West Pakistan		E37P3BHK2V1BHK1	Mammalian	26252219		
KP821598	field	Seferihisar-Ismir		E3BHK9	Mammalian	26252219		
KP821599	field	Berrouaghia-Media	spleen	E1BHK2	Mammalian	26252219		
KP821600	field	Berrouaghia-Media	blood	KC3	Culicoides	26252219		
KP821601	field	Laghouat-Dakhla	blood	KC1BHK1	Culicoides-Mammalian	26252219		
KP821602	field			E1BHK3	Mammalian	26252219		
KP821603	field	Beyrie-en-Bearn-Pyrenees Atlantiques-Aquitaine	blood	E1BHK5	Mammalian	26252219		
KP821604	field	Pinderes-Lot et Garonne-Aquitaine	blood	E1BHK4	Mammalian	26252219		
KP821605	field	Faurilles-Dordogne-Aquitaine	blood	E1BHK3	Mammalian	26252219		
KP821606	field	Pouylebon-Gascony-Midi-Pyrennes	blood	E1BHK3	Mammalian	26252219		
KP821607	field	Camaret sur mer-Finistere-Brittany	blood	E1BHK3	Mammalian	26252219		
KP821608	field		blood	KC2	Culicoides	26252219		
KP821609	field	Agiasos-Achladeri-Lesvos	spleen	BHK5	Mammalian	26252219		
KP821610	field	Smiksi-Grevena	spleen	BHK10	Mammalian	26252219		
KP821611	field	Potamia-Paramithia-Thesprotia	spleen	E1BHK7	Mammalian	26252219		
KP821612	field	Green Mountain	blood	KC1BHK1	Culicoides-Mammalian	26252219		
KP821613	field	Guenfouda-Oujda	blood	E1BSR4BHK2	Mammalian	26252219		
KP821614	field	Khouribga	blood	KC1	Culicoides	26252219		
KP821615	field	Settat	blood	KC1	Culicoides	26252219		
KP821616	field	Rabat	blood	KC1	Culicoides	26252219		
KP821617	field	Kenitra	blood	KC1	Culicoides	26252219		
KP821618	field	Fes	blood	KC1	Culicoides	26252219		
KP821619	field	Fes	blood	KC1	Culicoides	26252219		
KP821620	field	Marrakesh	blood	KC1	Culicoides	26252219		
KP821621	vaccine	Biggarsberg-Vryheid-Natal	NULL	E50P3BHK7	Mammalian	26252219		
KP821622	field	Cordova	blood	E1C6/36 1BHK4	Mammalian	26252219		
KP821623	field	Pias Vasco	blood	E1C6/36 1BHK3	Mammalian	26252219		
KP821624	field	Asturias	blood	E1C6/36 1BHK4	Mammalian	26252219		
KP821625	field	Galicia	blood	E1C6/36 1BHK5	Mammalian	26252219		
KP821626	field		Culicoides imicola	E2BHK2PP1BHK2	Mammalian	26252219		
KP821627	field		blood	KC1	Culicoides	26252219		
KP821628	field	Corsica		V1BHK5	Mammalian	26252219		
KP821629	field	Corsica	blood	BHK3	Mammalian	26252219		
KP821630	field	Corsica	blood	E1BHK2	Mammalian	26252219		
KP821631	field	Yokneam	spleen	E1BHK5	Mammalian	26252219		
KP821632	field	Novara di Sicilia-Sicily	Culicoides pulicaris	E1BHK5	Mammalian	26252219		
KP821633	field	S.Angelo di Brolo-Sicily	spleen	E1BHK7	Mammalian	26252219		
KP821634	reference	Ermelo-Transvaal		E2BHK7	Mammalian	26252219		
KP821635	vaccine	Transvaal		E50P3BHK5	Mammalian	26252219		
KP821636	field	Sardinia	spleen	E1BHK2	Mammalian	26252219		
KP821637	field	Sardinia	spleen	E1BHK3	Mammalian	26252219		
KP821638	field	Sardinia	blood	E1BHK3	Mammalian	26252219		
KP821639	field		blood	E1BHK2	Mammalian	26252219		
KP821640	field	Nyala	Culicoides spp	LD3BHK5	Mammalian	26252219		
KP821641	field			E1BHK5	Mammalian	26252219		
KP821642	field			BHK?	Mammalian	26252219		
KP821643	reference	Larnaca-Cyprus		E1BHK6	Mammalian	26252219		
KP821644	field		blood	BHK8	Mammalian	26252219		
KP821645	field	Ammochostos	spleen	CPAE1BHK6	Mammalian	26252219		
KP821646	field	Poli Chrysochous-Paphos	blood	KC1	Culicoides	26252219		
KP821647	field	Poli Chrysochous-Paphos	blood	KC1	Culicoides	26252219		
KP821648	field	Poli Chrysochous-Paphos	blood	KC1	Culicoides	26252219		
KP821649	field	Poli Chrysochous-Paphos	blood	KC1	Culicoides	26252219		
KP821650	field	Poli Chrysochous-Paphos	blood	KC1	Culicoides	26252219		
KP821651	field			E?BHK?	Mammalian	26252219		
KP821652	field	Corsica		E1BHK3	Mammalian	26252219		
KP821653	field	Corsica		E1BHK3	Mammalian	26252219		
KP821654	field	Corsica		E1BHK4	Mammalian	26252219		
KP821655	field	Madamados-Lesvos	spleen	E2BHK9	Mammalian	26252219		
KP821656	field	Mandriko-Rhodes	blood	E2BHK6	Mammalian	26252219		
KP821657	field	Keramidi-Magnesia	Culicoides obsoletus	BHK6	Mammalian	26252219		
KP821658	field	Arta	blood	E2BHK5	Mammalian	26252219		
KP821659	field	Kavala	Culicoides obsoletus	BHK7	Mammalian	26252219		
KP821660	field	Rhodes	blood	KC1BHK1	Culicoides-Mammalian	26252219		
KP821661	field	Rhodes	blood	KC1BHK1	Culicoides-Mammalian	26252219		
KP821662	field	Rhodes	blood	KC1BHK1	Culicoides-Mammalian	26252219		
KP821663	field	Elyakim		CE1BHK1	Mammalian	26252219		
KP821664	field	Zde Eliahu	blood	E2BHK2	Mammalian	26252219		
KP821665	field	El Kebir	blood	E1BHK4	Mammalian	26252219		
KP821666	field	Azrou	blood	KC1	Culicoides	26252219		
KP821667	field	Azrou	blood	KC1	Culicoides	26252219		
KP821668	field	Azrou	blood	KC1	Culicoides	26252219		
KP821669	field	Marrakesh	blood	KC1	Culicoides	26252219		
KP821670	reference	Cyprus		BHK9	Mammalian	26252219		
KP821671	field	Menorca	blood	E1BHK3	Mammalian	26252219		
KP821672	field	Cadiz-Jimena de la Frontera	blood	E1BHK1	Mammalian	26252219		
KP821673	field		blood	E1BHK2	Mammalian	26252219		
KP821674	field	Cadiz-Vejer de la Frontera	blood	E1C6/36 1BHK4	Mammalian	26252219		
KP821675	field	Shambat	blood	E1BHK2	Mammalian	26252219		
KP821676	field	Rosh ha-nikra	spleen	KC2	Culicoides	26252219		
KP821677	field	Aghia Paraskevi- Lesvos	blood	KC1	Culicoides	26252219		
KP821678	field	Staphorst	blood	KC1BHK1	Culicoides-Mammalian	26252219		
KP821679	field		blood	E2CER3BHK2	Mammalian	26252219		
KP821680	reference	Transvaal		E2BHK7	Mammalian	26252219		
KP821681	field	Baylham-Ipswich-Suffolk	blood	KC1	Culicoides	26252219		
KP821682	field	Milici-Vlasenica-Srpska	blood	E1BHK3	Mammalian	26252219		
KP821683	field			E1BHK5	Mammalian	26252219		
KP821684	field	Afandou-Rhodes	blood	E2BHK10	Mammalian	26252219		
KP821685	field	Ierissos-Chalkidiki	blood	E2BHK6	Mammalian	26252219		
KP821686	field	Aghia Paraskevi- Lesvos	spleen	KC1	Culicoides	26252219		
KP821687	field	Nissoria-Enna-Sicily	spleen	BHK7	Mammalian	26252219		
KP821688	field	Sadovine-Viti-Pristina	blood	E1BHK2	Mammalian	26252219		
KP821689	field	Sllatina-Podujevo-Pristina	blood	E1BHK4	Mammalian	26252219		
KP821690	field		blood	KC1BHK1	Culicoides-Mammalian	26252219		
KP821691	field		blood	KC2	Culicoides	26252219		
KP821692	reference	Pretoria-Transvaal		E3BHK8	Mammalian	26252219		
KP821693	vaccine	Pretoria-Transvaal		E70BHK2P1BHK3P7BHK6	Mammalian	26252219		
KP821694	field		blood	E1BHK4	Mammalian	26252219		
KP821695	field	Aydin	blood	E1BHK1V2	Mammalian	26252219		
KP821696	field	Manisa		E2BHK9	Mammalian	26252219		
KP821697	field	Aydin	blood	E1BHK1V1BHK1	Mammalian	26252219		
KP821698	field			E2BHK3	Mammalian	26252219		
KP821699	field	Sokolka poviat	blood	KC3BHK1	Culicoides-Mammalian	26252219		
KP821700	field	Smolensk-Galloway-Tsineevo-Veshkovsk-Ugra	blood	E2V3KIDNEY2V1	Mammalian	26252219		
KP821701	field		blood	E1BHK1V2	Mammalian	26252219		
KP821702	field	Yachini		CE1BHK1	Mammalian	26252219		
KP821703	vaccine inactivated					26252219		
KP821704	field	Lagruere-Lot et Garonne-Aquitaine	blood	E1BHK4	Mammalian	26252219		
KP821705	field	Romestaing-Lot et Garonne-Aquitaine	blood	E1BHK3	Mammalian	26252219		
KP821706	field	Bieujac-Gironde-Aquitaine	blood	E1BHK3	Mammalian	26252219		
KP821707	reference	Ermelo-Transvaal-Natal		E1BHK11	Mammalian	26252219		
KP821708	reference	Ermelo-Onderstepoort		E1LK6BHK6	Mammalian	26252219		
KP821709	field	Ammochostos-Achna	blood	VIBHK4	Mammalian	26252219		
KP821710	field	Athalassa	blood	E1BHK2	Mammalian	26252219		
KP821711	field	Nicosia	blood	KC1	Culicoides	26252219		
KP821712	field	Corsica	blood	E1BHK3	Mammalian	26252219		
KP821713	field	Damatria-Rhodes	blood	E2BHK11	Mammalian	26252219		
KP821714	field	Madamados-Lesvos	blood	KC1	Culicoides	26252219		
KP821715	field	Yokneam		E1BHK4	Mammalian	26252219		
KP821716	field	Ein Kamonim	spleen	E1BHK2	Mammalian	26252219		
KP821717	vaccine	Hazara-West Pakistan	NULL	E37P3BHK2V1BHK1	Mammalian	26252219		
KP821718	field	Seferihisar-Ismir	NULL	E3BHK9	Mammalian	26252219		
KP821719	field	Berrouaghia-Media	spleen	E1BHK2	Mammalian	26252219		
KP821720	field	Berrouaghia-Media	blood	KC3	Culicoides	26252219		
KP821721	field	Laghouat-Dakhla	blood	KC1BHK1	Culicoides-Mammalian	26252219		
KP821722	field			E1BHK3	Mammalian	26252219		
KP821723	field	Beyrie-en-Bearn-Pyrenees Atlantiques-Aquitaine	blood	E1BHK5	Mammalian	26252219		
KP821724	field	Pinderes-Lot et Garonne-Aquitaine	blood	E1BHK4	Mammalian	26252219		
KP821725	field	Faurilles-Dordogne-Aquitaine	blood	E1BHK3	Mammalian	26252219		
KP821726	field	Pouylebon-Gascony-Midi-Pyrennes	blood	E1BHK3	Mammalian	26252219		
KP821727	field	Camaret sur mer-Finistere-Brittany	blood	E1BHK3	Mammalian	26252219		
KP821728	field		blood	KC2	Culicoides	26252219		
KP821729	field	Agiasos-Achladeri-Lesvos	spleen	BHK5	Mammalian	26252219		
KP821730	field	Smiksi-Grevena	spleen	BHK10	Mammalian	26252219		
KP821731	field	Potamia-Paramithia-Thesprotia	spleen	E1BHK7	Mammalian	26252219		
KP821732	field	Green Mountain	blood	KC1BHK1	Culicoides-Mammalian	26252219		
KP821733	field	Guenfouda-Oujda	blood	E1BSR4BHK2	Mammalian	26252219		
KP821734	field	Khouribga	blood	KC1	Culicoides	26252219		
KP821735	field	Settat	blood	KC1	Culicoides	26252219		
KP821736	field	Rabat	blood	KC1	Culicoides	26252219		
KP821737	field	Kenitra	blood	KC1	Culicoides	26252219		
KP821738	field	Fes	blood	KC1	Culicoides	26252219		
KP821739	field	Fes	blood	KC1	Culicoides	26252219		
KP821740	field	Marrakesh	blood	KC1	Culicoides	26252219		
KP821741	vaccine	Natal	NULL	E50P3BHK7	Mammalian	26252219		
KP821742	field	Cordoba	blood	E1C6/36 1BHK4	Mammalian	26252219		
KP821743	field	Pias Vasco	blood	E1C6/36 1BHK3	Mammalian	26252219		
KP821744	field	Asturias	blood	E1C6/36 1BHK4	Mammalian	26252219		
KP821745	field	Galicia	blood	E1C6/36 1BHK5	Mammalian	26252219		
KP821746	field		Culicoides imicola	E2BHK2PP1BHK2	Mammalian	26252219		
KP821747	field		blood	KC1	Culicoides	26252219		
KP821748	field	Corsica		V1BHK5	Mammalian	26252219		
KP821749	field	Corsica	blood	BHK3	Mammalian	26252219		
KP821750	field	Corsica	blood	E1BHK2	Mammalian	26252219		
KP821751	field	Yokneam	spleen	E1BHK5	Mammalian	26252219		
KP821752	field	Novara di Sicilia-Sicily	Culicoides pulicaris	E1BHK5	Mammalian	26252219		
KP821753	field	S.Angelo di Brolo-Sicily	spleen	E1BHK7	Mammalian	26252219		
KP821754	reference	Ermelo-Transvaal		E2BHK7	Mammalian	26252219		
KP821755	vaccine	Transvaal		E50P3BHK5	Mammalian	26252219		
KP821756	field	Sardinia	spleen	E1BHK2	Mammalian	26252219		
KP821757	field	Sardinia	spleen	E1BHK3	Mammalian	26252219		
KP821758	field	Sardinia	blood	E1BHK3	Mammalian	26252219		
KP821759	field		blood	E1BHK2	Mammalian	26252219		
KP821760	field	Nyala	Culicoides spp	LD3BHK5	Mammalian	26252219		
KP821761	field			E1BHK5	Mammalian	26252219		
KP821762	field			BHK?	Mammalian	26252219		
KP821763	reference	Larnaca-Cyprus		E1BHK6	Mammalian	26252219		
KP821764	field		blood	BHK8	Mammalian	26252219		
KP821765	field	Ammochostos	spleen	CPAE1BHK6	Mammalian	26252219		
KP821766	field	Poli Chrysochous-Paphos	blood	KC1	Culicoides	26252219		
KP821767	field	Poli Chrysochous-Paphos	blood	KC1	Culicoides	26252219		
KP821768	field	Poli Chrysochous-Paphos	blood	KC1	Culicoides	26252219		
KP821769	field	Poli Chrysochous-Paphos	blood	KC1	Culicoides	26252219		
KP821770	field	Poli Chrysochous-Paphos	blood	KC1	Culicoides	26252219		
KP821771	field			E?BHK?	Mammalian	26252219		
KP821772	field	Corsica		E1BHK3	Mammalian	26252219		
KP821773	field	Corsica		E1BHK3	Mammalian	26252219		
KP821774	field	Corsica		E1BHK4	Mammalian	26252219		
KP821775	field	Madamados-Lesvos	spleen	E2BHK9	Mammalian	26252219		
KP821776	field	Mandriko-Rhodes	blood	E2BHK6	Mammalian	26252219		
KP821777	field	Keramidi-Magnesia	Culicoides obsoletus	BHK6	Mammalian	26252219		
KP821778	field	Arta	blood	E2BHK5	Mammalian	26252219		
KP821779	field	Kavala	Culicoides obsoletus	BHK7	Mammalian	26252219		
KP821780	field	Rhodes	blood	KC1BHK1	Culicoides-Mammalian	26252219		
KP821781	field	Rhodes	blood	KC1BHK1	Culicoides-Mammalian	26252219		
KP821782	field	Rhodes	blood	KC1BHK1	Culicoides-Mammalian	26252219		
KP821783	field	Elyakim		CE1BHK1	Mammalian	26252219		
KP821784	field	Zde Eliahu	blood	E2BHK2	Mammalian	26252219		
KP821785	field	El Kebir	blood	E1BHK4	Mammalian	26252219		
KP821786	field	Azrou	blood	KC1	Culicoides	26252219		
KP821787	field	Azrou	blood	KC1	Culicoides	26252219		
KP821788	field	Azrou	blood	KC1	Culicoides	26252219		
KP821789	field	Marrakesh	blood	KC1	Culicoides	26252219		
KP821790	reference	Cyprus		BHK9	Mammalian	26252219		
KP821791	field	Menorca	blood	E1BHK3	Mammalian	26252219		
KP821792	field	Cadiz-Jimena de la Frontera	blood	E1BHK1	Mammalian	26252219		
KP821793	field	NULL	blood	E1BHK2	Mammalian	26252219		
KP821794	field	Cadiz-Vejer de la Frontera	blood	E1C6/36 1BHK4	Mammalian	26252219		
KP821795	field	Shambat	blood	E1BHK2	Mammalian	26252219		
KP821796	field	Rosh ha-nikra	spleen	KC2	Culicoides	26252219		
KP821797	field	Aghia Paraskevi- Lesvos	blood	KC1	Culicoides	26252219		
KP821798	field	Staphorst	blood	KC1BHK1	Culicoides-Mammalian	26252219		
KP821799	field		blood	E2CER3BHK2	Mammalian	26252219		
KP821800	reference	Transvaal		E2BHK7	Mammalian	26252219		
KP821801	field	Baylham-Ipswich-Suffolk	blood	KC1	Culicoides	26252219		
KP821802	field	Milici-Vlasenica-Srpska	blood	E1BHK3	Mammalian	26252219		
KP821803	field			E1BHK5	Mammalian	26252219		
KP821804	field	Afandou-Rhodes	blood	E2BHK10	Mammalian	26252219		
KP821805	field	Ierissos-Chalkidiki	blood	E2BHK6	Mammalian	26252219		
KP821806	field	Aghia Paraskevi- Lesvos	spleen	KC1	Culicoides	26252219		
KP821807	field	Nissoria-Enna-Sicily	spleen	BHK7	Mammalian	26252219		
KP821808	field	Sadovine-Viti-Pristina	blood	E1BHK2	Mammalian	26252219		
KP821809	field	Sllatina-Podujevo-Pristina	blood	E1BHK4	Mammalian	26252219		
KP821810	field		blood	KC1BHK1	Culicoides-Mammalian	26252219		
KP821811	field		blood	KC2	Culicoides	26252219		
KP821812	reference	Pretoria-Transvaal		E3BHK8	Mammalian	26252219		
KP821813	vaccine	Transvaal		E70BHK2P1BHK3P7BHK6	Mammalian	26252219		
KP821814	field		blood	E1BHK4	Mammalian	26252219		
KP821815	field	Aydin	blood	E1BHK1V2	Mammalian	26252219		
KP821816	field	Manisa		E2BHK9	Mammalian	26252219		
KP821817	field	Aydin	blood	E1BHK1V1BHK1	Mammalian	26252219		
KP821818	field			E2BHK3	Mammalian	26252219		
KP821819	field	Sokolka poviat	blood	KC3BHK1	Culicoides-Mammalian	26252219		
KP821820	field	Smolensk-Galloway-Tsineevo-Veshkovsk-Ugra	blood	E2V3KIDNEY2V1	Mammalian	26252219		
KP821821	field		blood	E1BHK1V2	Mammalian	26252219		
KP821822	field	Yachini		CE1BHK1	Mammalian	26252219		
KP821823	vaccine inactivated					26252219		
KP821824	field	Lagruere-Lot et Garonne-Aquitaine	blood	E1BHK4	Mammalian	26252219		
KP821825	field	Romestaing-Lot et Garonne-Aquitaine	blood	E1BHK3	Mammalian	26252219		
KP821826	field	Bieujac-Gironde-Aquitaine	blood	E1BHK3	Mammalian	26252219		
KP821827	reference	Ermelo-Transvaal-Natal		E1BHK11	Mammalian	26252219		
KP821828	reference	Ermelo-Onderstepoort		E1LK6BHK6	Mammalian	26252219		
KP821829	field	Ammochostos-Achna	blood	VIBHK4	Mammalian	26252219		
KP821830	field	Athalassa	blood	E1BHK2	Mammalian	26252219		
KP821831	field	Nicosia	blood	KC1	Culicoides	26252219		
KP821832	field	Corsica	blood	E1BHK3	Mammalian	26252219		
KP821833	field	Damatria-Rhodes	blood	E2BHK11	Mammalian	26252219		
KP821834	field	Madamados-Lesvos	blood	KC1	Culicoides	26252219		
KP821835	field	Yokneam		E1BHK4	Mammalian	26252219		
KP821836	field	Yokneam		E1BHK4	Mammalian	26252219		
KP821837	field	Ein Kamonim	spleen	E1BHK2	Mammalian	26252219		
KP821838	vaccine	Hazara-West Pakistan		E37P3BHK2V1BHK1	Mammalian	26252219		
KP821839	field	Seferihisar-Ismir		E3BHK9	Mammalian	26252219		
KP821840	field	Berrouaghia-Media	spleen	E1BHK2	Mammalian	26252219		
KP821841	field	Berrouaghia-Media	blood	KC3	Culicoides	26252219		
KP821842	field	Laghouat-Dakhla	blood	KC1BHK1	Culicoides-Mammalian	26252219		
KP821843	field			E1BHK3	Mammalian	26252219		
KP821844	field	Beyrie-en-Bearn-Pyrenees Atlantiques-Aquitaine	blood	E1BHK5	Mammalian	26252219		
KP821845	field	Pinderes-Lot et Garonne-Aquitaine	blood	E1BHK4	Mammalian	26252219		
KP821846	field	Faurilles-Dordogne-Aquitaine	blood	E1BHK3	Mammalian	26252219		
KP821847	field	Pouylebon-Gascony-Midi-Pyrennes	blood	E1BHK3	Mammalian	26252219		
KP821848	field	Camaret sur mer-Finistere-Brittany	blood	E1BHK3	Mammalian	26252219		
KP821849	field		blood	KC2	Culicoides	26252219		
KP821850	field	Agiasos-Achladeri-Lesvos	spleen	BHK5	Mammalian	26252219		
KP821851	field	Smiksi-Grevena	spleen	BHK10	Mammalian	26252219		
KP821852	field	Potamia-Paramithia-Thesprotia	spleen	E1BHK7	Mammalian	26252219		
KP821853	field	Green Mountain	blood	KC1BHK1	Culicoides-Mammalian	26252219		
KP821854	field	Guenfouda-Oujda	blood	E1BSR4BHK2	Mammalian	26252219		
KP821855	field	Khouribga	blood	KC1	Culicoides	26252219		
KP821856	field	Settat	blood	KC1	Culicoides	26252219		
KP821857	field	Rabat	blood	KC1	Culicoides	26252219		
KP821858	field	Kenitra	blood	KC1	Culicoides	26252219		
KP821859	field	Fes	blood	KC1	Culicoides	26252219		
KP821860	field	Fes	blood	KC1	Culicoides	26252219		
KP821861	field	Marrakesh	blood	KC1	Culicoides	26252219		
KP821862	vaccine	Natal	NULL	E50P3BHK7	Mammalian	26252219		
KP821863	field	Cordoba	blood	E1C6/36 1BHK4	Mammalian	26252219		
KP821864	field	Pias Vasco	blood	E1C6/36 1BHK3	Mammalian	26252219		
KP821865	field	Asturias	blood	E1C6/36 1BHK4	Mammalian	26252219		
KP821866	field	Galicia	blood	E1C6/36 1BHK5	Mammalian	26252219		
KP821867	field		Culicoides imicola	E2BHK2PP1BHK2	Mammalian	26252219		
KP821868	field		blood	KC1	Culicoides	26252219		
KP821869	field	Corsica		V1BHK5	Mammalian	26252219		
KP821870	field	Corsica	blood	BHK3	Mammalian	26252219		
KP821871	field	Corsica	blood	E1BHK2	Mammalian	26252219		
KP821872	field	Yokneam	spleen	E1BHK5	Mammalian	26252219		
KP821873	field	Novara di Sicilia-Sicily	Culicoides pulicaris	E1BHK5	Mammalian	26252219		
KP821874	field	S.Angelo di Brolo-Sicily	spleen	E1BHK7	Mammalian	26252219		
KP821875	vaccine	Transvaal		E50P3BHK5	Mammalian	26252219		
