taxon	country	serotype	host	year	accession	accession_country_serotype
alignment/PHYLO_UNC_S2/member/ncbi-curated/AJ585111	IND	1	Ovis aries	1992	AJ585111	AJ585111/IND/1
alignment/PHYLO_UNC_S2/member/ncbi-curated/AJ585112	IND	1	-	1992	AJ585112	AJ585112/IND/1
alignment/PHYLO_UNC_S2/member/ncbi-curated/AJ585113	IND	1	-	1988	AJ585113	AJ585113/IND/1
alignment/PHYLO_UNC_S2/member/ncbi-curated/AJ585114	IND	1	-	1999	AJ585114	AJ585114/IND/1
alignment/PHYLO_UNC_S2/member/ncbi-curated/AJ585115	IND	1	-	2001	AJ585115	AJ585115/IND/1
alignment/PHYLO_UNC_S2/member/ncbi-curated/AJ585116	MYS	1	-	1987	AJ585116	AJ585116/MYS/1
alignment/PHYLO_UNC_S2/member/ncbi-curated/AJ585117	SDN	1	-	1987	AJ585117	AJ585117/SDN/1
alignment/PHYLO_UNC_S2/member/ncbi-curated/AJ585118	NGA	1	-	1982	AJ585118	AJ585118/NGA/1
alignment/PHYLO_UNC_S2/member/ncbi-curated/AJ585119	CMR	1	-	1982	AJ585119	AJ585119/CMR/1
alignment/PHYLO_UNC_S2/member/ncbi-curated/AJ585120	AUS	1	-	-	AJ585120	AJ585120/AUS/1
alignment/PHYLO_UNC_S2/member/ncbi-curated/AJ585121	GRC	1	-	2001	AJ585121	AJ585121/GRC/1
alignment/PHYLO_UNC_S2/member/ncbi-curated/AJ585122	ZAF	1	Ovis aries	1958	AJ585122	AJ585122/ZAF/1
alignment/PHYLO_UNC_S2/member/ncbi-curated/AJ585123	ZAF	2	Ovis aries	1959	AJ585123	AJ585123/ZAF/2
alignment/PHYLO_UNC_S2/member/ncbi-curated/AJ585124	ZAF	3	Ovis aries	1943	AJ585124	AJ585124/ZAF/3
alignment/PHYLO_UNC_S2/member/ncbi-curated/AJ585125	ZAF	4	Ovis aries	1969	AJ585125	AJ585125/ZAF/4
alignment/PHYLO_UNC_S2/member/ncbi-curated/AJ585126	ZAF	5	Ovis aries	1953	AJ585126	AJ585126/ZAF/5
alignment/PHYLO_UNC_S2/member/ncbi-curated/AJ585127	ZAF	6	Ovis aries	1958	AJ585127	AJ585127/ZAF/6
alignment/PHYLO_UNC_S2/member/ncbi-curated/AJ585128	ZAF	7	Ovis aries	1955	AJ585128	AJ585128/ZAF/7
alignment/PHYLO_UNC_S2/member/ncbi-curated/AJ585129	ZAF	8	Ovis aries	1937	AJ585129	AJ585129/ZAF/8
alignment/PHYLO_UNC_S2/member/ncbi-curated/AJ585130	ZAF	9	Ovis aries	1942	AJ585130	AJ585130/ZAF/9
alignment/PHYLO_UNC_S2/member/ncbi-curated/AJ585131	ZAF	10	Ovis aries	1956	AJ585131	AJ585131/ZAF/10
alignment/PHYLO_UNC_S2/member/ncbi-curated/AJ585132	ZAF	11	Ovis aries	1944	AJ585132	AJ585132/ZAF/11
alignment/PHYLO_UNC_S2/member/ncbi-curated/AJ585133	ZAF	12	Ovis aries	1941	AJ585133	AJ585133/ZAF/12
alignment/PHYLO_UNC_S2/member/ncbi-curated/AJ585134	ZAF	13	Ovis aries	1959	AJ585134	AJ585134/ZAF/13
alignment/PHYLO_UNC_S2/member/ncbi-curated/AJ585135	ZAF	14	Ovis aries	1959	AJ585135	AJ585135/ZAF/14
alignment/PHYLO_UNC_S2/member/ncbi-curated/AJ585136	ZAF	15	Bos taurus	1960	AJ585136	AJ585136/ZAF/15
alignment/PHYLO_UNC_S2/member/ncbi-curated/AJ585137	ZAF	16	Ovis aries	1960	AJ585137	AJ585137/ZAF/16
alignment/PHYLO_UNC_S2/member/ncbi-curated/AJ585138	ZAF	17	-	1979	AJ585138	AJ585138/ZAF/17
alignment/PHYLO_UNC_S2/member/ncbi-curated/AJ585139	ZAF	18	Ovis aries	1976	AJ585139	AJ585139/ZAF/18
alignment/PHYLO_UNC_S2/member/ncbi-curated/AJ585140	ZAF	19	Ovis aries	1976	AJ585140	AJ585140/ZAF/19
alignment/PHYLO_UNC_S2/member/ncbi-curated/AJ585141	ZAF	20	Culicoides sp.	1975	AJ585141	AJ585141/ZAF/20
alignment/PHYLO_UNC_S2/member/ncbi-curated/AJ585142	ZAF	21	Bos taurus	1979	AJ585142	AJ585142/ZAF/21
alignment/PHYLO_UNC_S2/member/ncbi-curated/AJ585143	ZAF	22	Culicoides sp.	1992	AJ585143	AJ585143/ZAF/22
alignment/PHYLO_UNC_S2/member/ncbi-curated/AJ585144	ZAF	23	Bos taurus	1987	AJ585144	AJ585144/ZAF/23
alignment/PHYLO_UNC_S2/member/ncbi-curated/AJ585145	ZAF	24	Ovis aries	1992	AJ585145	AJ585145/ZAF/24
alignment/PHYLO_UNC_S2/member/ncbi-curated/AJ585146	TUR	16	-	2000	AJ585146	AJ585146/TUR/16
alignment/PHYLO_UNC_S2/member/ncbi-curated/AJ585147	TUR	2	-	2000	AJ585147	AJ585147/TUR/2
alignment/PHYLO_UNC_S2/member/ncbi-curated/AJ585148	TUR	16	-	2000	AJ585148	AJ585148/TUR/16
alignment/PHYLO_UNC_S2/member/ncbi-curated/AJ585149	ZAF	16	-	-	AJ585149	AJ585149/ZAF/16
alignment/PHYLO_UNC_S2/member/ncbi-curated/AJ585150	NGA	16	-	1982	AJ585150	AJ585150/NGA/16
alignment/PHYLO_UNC_S2/member/ncbi-curated/AJ585151	IDN	16	-	1991	AJ585151	AJ585151/IDN/16
alignment/PHYLO_UNC_S2/member/ncbi-curated/AJ585152	IND	2	-	1982	AJ585152	AJ585152/IND/2
alignment/PHYLO_UNC_S2/member/ncbi-curated/AJ585153	NGA	2	-	1982	AJ585153	AJ585153/NGA/2
alignment/PHYLO_UNC_S2/member/ncbi-curated/AJ585154	FRA	2	-	2001	AJ585154	AJ585154/FRA/2
alignment/PHYLO_UNC_S2/member/ncbi-curated/AJ585155	SDN	2	-	1985	AJ585155	AJ585155/SDN/2
alignment/PHYLO_UNC_S2/member/ncbi-curated/AJ585156	TUN	2	-	2000	AJ585156	AJ585156/TUN/2
alignment/PHYLO_UNC_S2/member/ncbi-curated/AJ585157	ZAF	2	-	-	AJ585157	AJ585157/ZAF/2
alignment/PHYLO_UNC_S2/member/ncbi-curated/AJ585158	ITA	2	-	2002	AJ585158	AJ585158/ITA/2
alignment/PHYLO_UNC_S2/member/ncbi-curated/AJ585159	ITA	2	-	2002	AJ585159	AJ585159/ITA/2
alignment/PHYLO_UNC_S2/member/ncbi-curated/AJ585160	ITA	2	-	2002	AJ585160	AJ585160/ITA/2
alignment/PHYLO_UNC_S2/member/ncbi-curated/AJ585161	ITA	2	-	2001	AJ585161	AJ585161/ITA/2
alignment/PHYLO_UNC_S2/member/ncbi-curated/AJ585162	ITA	2	-	2001	AJ585162	AJ585162/ITA/2
alignment/PHYLO_UNC_S2/member/ncbi-curated/AJ585163	ZAF	4	-	-	AJ585163	AJ585163/ZAF/4
alignment/PHYLO_UNC_S2/member/ncbi-curated/AJ585164	TUR	4	-	-	AJ585164	AJ585164/TUR/4
alignment/PHYLO_UNC_S2/member/ncbi-curated/AJ585165	TUR	4	-	1978	AJ585165	AJ585165/TUR/4
alignment/PHYLO_UNC_S2/member/ncbi-curated/AJ585166	SDN	4	-	1983	AJ585166	AJ585166/SDN/4
alignment/PHYLO_UNC_S2/member/ncbi-curated/AJ585167	GRC	4	-	2000	AJ585167	AJ585167/GRC/4
alignment/PHYLO_UNC_S2/member/ncbi-curated/AJ585168	ZAF	1	-	-	AJ585168	AJ585168/ZAF/1
alignment/PHYLO_UNC_S2/member/ncbi-curated/AJ585169	ARG	4	-	2002	AJ585169	AJ585169/ARG/4
alignment/PHYLO_UNC_S2/member/ncbi-curated/AJ585170	BGR	9	-	1999	AJ585170	AJ585170/BGR/9
alignment/PHYLO_UNC_S2/member/ncbi-curated/AJ585171	GRC	9	-	2000	AJ585171	AJ585171/GRC/9
alignment/PHYLO_UNC_S2/member/ncbi-curated/AJ585172	SRB	9	-	2001	AJ585172	AJ585172/SRB/9
alignment/PHYLO_UNC_S2/member/ncbi-curated/AJ585173	ZAF	9	-	-	AJ585173	AJ585173/ZAF/9
alignment/PHYLO_UNC_S2/member/ncbi-curated/AJ585174	Bosnia	9	-	2002	AJ585174	AJ585174/Bosnia/9
alignment/PHYLO_UNC_S2/member/ncbi-curated/AJ585175	TUR	9	-	2000	AJ585175	AJ585175/TUR/9
alignment/PHYLO_UNC_S2/member/ncbi-curated/AJ585176	TUR	9	-	2000	AJ585176	AJ585176/TUR/9
alignment/PHYLO_UNC_S2/member/ncbi-curated/AJ585177	TUR	9	-	2000	AJ585177	AJ585177/TUR/9
alignment/PHYLO_UNC_S2/member/ncbi-curated/AJ585178	AUS	1	-	1981	AJ585178	AJ585178/AUS/1
alignment/PHYLO_UNC_S2/member/ncbi-curated/AJ585179	ZWE	3	Bos taurus	2002	AJ585179	AJ585179/ZWE/3
alignment/PHYLO_UNC_S2/member/ncbi-curated/AJ585180	CYP	4	-	1969	AJ585180	AJ585180/CYP/4
alignment/PHYLO_UNC_S2/member/ncbi-curated/AJ585181	CMR	5	-	1982	AJ585181	AJ585181/CMR/5
alignment/PHYLO_UNC_S2/member/ncbi-curated/AJ585182	NGA	5	-	1982	AJ585182	AJ585182/NGA/5
alignment/PHYLO_UNC_S2/member/ncbi-curated/AJ585183	KEN	8	-	-	AJ585183	AJ585183/KEN/8
alignment/PHYLO_UNC_S2/member/ncbi-curated/AJ585184	NGA	8	-	1982	AJ585184	AJ585184/NGA/8
alignment/PHYLO_UNC_S2/member/ncbi-curated/AJ585185	KEN	8	-	-	AJ585185	AJ585185/KEN/8
alignment/PHYLO_UNC_S2/member/ncbi-curated/AJ585186	CMR	14	-	1982	AJ585186	AJ585186/CMR/14
alignment/PHYLO_UNC_S2/member/ncbi-curated/AJ585187	NGA	22	-	1982	AJ585187	AJ585187/NGA/22
alignment/PHYLO_UNC_S2/member/ncbi-curated/AJ585188	IDN	23	-	1991	AJ585188	AJ585188/IDN/23
alignment/PHYLO_UNC_S2/member/ncbi-curated/AJ585189	IND	23	Ovis aries	1997	AJ585189	AJ585189/IND/23
alignment/PHYLO_UNC_S2/member/ncbi-curated/AM498052	NLD	8	Ovis aries	2006	AM498052	AM498052/NLD/8
alignment/PHYLO_UNC_S2/member/ncbi-curated/AM773697	ESP	2	Bos taurus	2005	AM773697	AM773697/ESP/2
alignment/PHYLO_UNC_S2/member/ncbi-curated/AM773698	ITA	2	Culicoides sp.	2002	AM773698	AM773698/ITA/2
alignment/PHYLO_UNC_S2/member/ncbi-curated/AM773699	ITA	16	Ovis aries	2004	AM773699	AM773699/ITA/16
alignment/PHYLO_UNC_S2/member/ncbi-curated/AM773700	ITA	16	Ovis aries	2004	AM773700	AM773700/ITA/16
alignment/PHYLO_UNC_S2/member/ncbi-curated/AM773701	ISR	16	Ovis aries	2001	AM773701	AM773701/ISR/16
alignment/PHYLO_UNC_S2/member/ncbi-curated/AM773702	GRC	16	Ovis aries	1999	AM773702	AM773702/GRC/16
alignment/PHYLO_UNC_S2/member/ncbi-curated/AM773708	ITA	2	Culicoides sp.	2002	AM773708	AM773708/ITA/2
alignment/PHYLO_UNC_S2/member/ncbi-curated/AM773709	GRC	16	Ovis aries	1999	AM773709	AM773709/GRC/16
alignment/PHYLO_UNC_S2/member/ncbi-curated/AM773710	ISR	16	Ovis aries	2001	AM773710	AM773710/ISR/16
alignment/PHYLO_UNC_S2/member/ncbi-curated/AY485669	FRA	3	-	2003	AY485669	AY485669/FRA/3
alignment/PHYLO_UNC_S2/member/ncbi-curated/AY493687	TWN	2	Capra hircus	2003	AY493687	AY493687/TWN/2
alignment/PHYLO_UNC_S2/member/ncbi-curated/AY636071	USA	17	-	-	AY636071	AY636071/USA/17
alignment/PHYLO_UNC_S2/member/ncbi-curated/AY636072	USA	17	-	-	AY636072	AY636072/USA/17
alignment/PHYLO_UNC_S2/member/ncbi-curated/AY636073	USA	17	-	-	AY636073	AY636073/USA/17
alignment/PHYLO_UNC_S2/member/ncbi-curated/AY636074	USA	17	-	-	AY636074	AY636074/USA/17
alignment/PHYLO_UNC_S2/member/ncbi-curated/AY636075	USA	17	-	-	AY636075	AY636075/USA/17
alignment/PHYLO_UNC_S2/member/ncbi-curated/AY636076	USA	17	-	-	AY636076	AY636076/USA/17
alignment/PHYLO_UNC_S2/member/ncbi-curated/AY636077	USA	17	-	-	AY636077	AY636077/USA/17
alignment/PHYLO_UNC_S2/member/ncbi-curated/AY636078	USA	17	-	-	AY636078	AY636078/USA/17
alignment/PHYLO_UNC_S2/member/ncbi-curated/AY643505	IND	23	Ovis aries	1995	AY643505	AY643505/IND/23
alignment/PHYLO_UNC_S2/member/ncbi-curated/AY643506	IND	23	Ovis aries	1988	AY643506	AY643506/IND/23
alignment/PHYLO_UNC_S2/member/ncbi-curated/AY643507	IND	18	Ovis aries	1998	AY643507	AY643507/IND/18
alignment/PHYLO_UNC_S2/member/ncbi-curated/AY839945	FRA	4	Ovis aries	2003	AY839945	AY839945/FRA/4
alignment/PHYLO_UNC_S2/member/ncbi-curated/AY839946	GRC	4	Ovis aries	2000	AY839946	AY839946/GRC/4
alignment/PHYLO_UNC_S2/member/ncbi-curated/AY839947	GRC	4	Ovis aries	1999	AY839947	AY839947/GRC/4
alignment/PHYLO_UNC_S2/member/ncbi-curated/AY839948	ZAF	4	-	2004	AY839948	AY839948/ZAF/4
alignment/PHYLO_UNC_S2/member/ncbi-curated/AY855264	ZAF	2	-	1959	AY855264	AY855264/ZAF/2
alignment/PHYLO_UNC_S2/member/ncbi-curated/AY855265	USA	2	-	1982	AY855265	AY855265/USA/2
alignment/PHYLO_UNC_S2/member/ncbi-curated/AY855266	USA	2	-	1982	AY855266	AY855266/USA/2
alignment/PHYLO_UNC_S2/member/ncbi-curated/AY855267	USA	2	-	1999	AY855267	AY855267/USA/2
alignment/PHYLO_UNC_S2/member/ncbi-curated/AY855268	USA	13	-	1999	AY855268	AY855268/USA/13
alignment/PHYLO_UNC_S2/member/ncbi-curated/AY855269	USA	17	-	1999	AY855269	AY855269/USA/17
alignment/PHYLO_UNC_S2/member/ncbi-curated/D00153	USA	13	-	-	D00153	D00153/USA/13
alignment/PHYLO_UNC_S2/member/ncbi-curated/DQ191259	ISR	16	Ovis aries	1999	DQ191259	DQ191259/ISR/16
alignment/PHYLO_UNC_S2/member/ncbi-curated/DQ191260	ITA	16	-	2001	DQ191260	DQ191260/ITA/16
alignment/PHYLO_UNC_S2/member/ncbi-curated/DQ191261	ITA	2	Ovis aries	2001	DQ191261	DQ191261/ITA/2
alignment/PHYLO_UNC_S2/member/ncbi-curated/DQ191262	ITA	2	Ovis aries	2000	DQ191262	DQ191262/ITA/2
alignment/PHYLO_UNC_S2/member/ncbi-curated/DQ191263	ITA	2	Ovis aries	2001	DQ191263	DQ191263/ITA/2
alignment/PHYLO_UNC_S2/member/ncbi-curated/DQ191264	ITA	2	Ovis aries	2001	DQ191264	DQ191264/ITA/2
alignment/PHYLO_UNC_S2/member/ncbi-curated/DQ191265	ITA	2	Cervus elaphus corsicanus	2001	DQ191265	DQ191265/ITA/2
alignment/PHYLO_UNC_S2/member/ncbi-curated/DQ191266	ITA	2	Ovis aries	2001	DQ191266	DQ191266/ITA/2
alignment/PHYLO_UNC_S2/member/ncbi-curated/DQ191267	ITA	2	Ovis aries	2001	DQ191267	DQ191267/ITA/2
alignment/PHYLO_UNC_S2/member/ncbi-curated/DQ191268	ITA	2	Ovis aries	2001	DQ191268	DQ191268/ITA/2
alignment/PHYLO_UNC_S2/member/ncbi-curated/DQ191269	ITA	2	Ovis aries	2001	DQ191269	DQ191269/ITA/2
alignment/PHYLO_UNC_S2/member/ncbi-curated/DQ191270	ITA	2	Ovis aries	2001	DQ191270	DQ191270/ITA/2
alignment/PHYLO_UNC_S2/member/ncbi-curated/DQ191271	ITA	2	Bos taurus	2001	DQ191271	DQ191271/ITA/2
alignment/PHYLO_UNC_S2/member/ncbi-curated/DQ191272	ITA	2	Ovis aries	2000	DQ191272	DQ191272/ITA/2
alignment/PHYLO_UNC_S2/member/ncbi-curated/DQ191273	ITA	2	Ovis aries	2000	DQ191273	DQ191273/ITA/2
alignment/PHYLO_UNC_S2/member/ncbi-curated/DQ191274	ITA	2	Culicoides sp.	2002	DQ191274	DQ191274/ITA/2
alignment/PHYLO_UNC_S2/member/ncbi-curated/DQ191275	ITA	2	Culicoides sp.	2002	DQ191275	DQ191275/ITA/2
alignment/PHYLO_UNC_S2/member/ncbi-curated/DQ191276	ITA	4	Bos taurus	2002	DQ191276	DQ191276/ITA/4
alignment/PHYLO_UNC_S2/member/ncbi-curated/DQ191277	GRC	4	Ovis aries	1999	DQ191277	DQ191277/GRC/4
alignment/PHYLO_UNC_S2/member/ncbi-curated/DQ191278	ISR	4	Ovis aries	2001	DQ191278	DQ191278/ISR/4
alignment/PHYLO_UNC_S2/member/ncbi-curated/DQ191279	ISR	4	Ovis aries	2001	DQ191279	DQ191279/ISR/4
alignment/PHYLO_UNC_S2/member/ncbi-curated/DQ191280	ITA	4	Ovis aries	2003	DQ191280	DQ191280/ITA/4
alignment/PHYLO_UNC_S2/member/ncbi-curated/DQ191281	ITA	4	Culicoides sp.	2003	DQ191281	DQ191281/ITA/4
alignment/PHYLO_UNC_S2/member/ncbi-curated/DQ191282	ITA	9	Ovis aries	2001	DQ191282	DQ191282/ITA/9
alignment/PHYLO_UNC_S2/member/ncbi-curated/DQ191283	GRC	9	Ovis aries	1998	DQ191283	DQ191283/GRC/9
alignment/PHYLO_UNC_S2/member/ncbi-curated/DQ191284	ITA	9	Ovis aries	2001	DQ191284	DQ191284/ITA/9
alignment/PHYLO_UNC_S2/member/ncbi-curated/DQ191285	ITA	9	Ovis aries	2001	DQ191285	DQ191285/ITA/9
alignment/PHYLO_UNC_S2/member/ncbi-curated/DQ825670	TUR	4	Ovis aries	1999	DQ825670	DQ825670/TUR/4
alignment/PHYLO_UNC_S2/member/ncbi-curated/EF434176	PRT	4	Ovis aries	2004	EF434176	EF434176/PRT/4
alignment/PHYLO_UNC_S2/member/ncbi-curated/EF434177	PRT	2	Bos taurus	2005	EF434177	EF434177/PRT/2
alignment/PHYLO_UNC_S2/member/ncbi-curated/EU498674	PRT	1	Ovis aries	2007	EU498674	EU498674/PRT/1
alignment/PHYLO_UNC_S2/member/ncbi-curated/EU625361	DZA	1	Ovis aries	2006	EU625361	EU625361/DZA/1
alignment/PHYLO_UNC_S2/member/ncbi-curated/EU625362	MAR	1	Ovis aries	2006	EU625362	EU625362/MAR/1
alignment/PHYLO_UNC_S2/member/ncbi-curated/EU839840	CHE	25	Capra hircus	2007	EU839840	EU839840/CHE/25
alignment/PHYLO_UNC_S2/member/ncbi-curated/FJ183375	NLD	8	-	-	FJ183375	FJ183375/NLD/8
alignment/PHYLO_UNC_S2/member/ncbi-curated/FJ437557	FRA	1	Ovis aries	2007	FJ437557	FJ437557/FRA/1
alignment/PHYLO_UNC_S2/member/ncbi-curated/FJ969720	ZAF	1	-	-	FJ969720	FJ969720/ZAF/1
alignment/PHYLO_UNC_S2/member/ncbi-curated/GQ506452	NLD	8	Bos taurus	2007	GQ506452	GQ506452/NLD/8
alignment/PHYLO_UNC_S2/member/ncbi-curated/GQ506461	DEU	6	Bos taurus	2008	GQ506461	GQ506461/DEU/6
alignment/PHYLO_UNC_S2/member/ncbi-curated/GQ506473	NLD	6	Bos taurus	2008	GQ506473	GQ506473/NLD/6
alignment/PHYLO_UNC_S2/member/ncbi-curated/GQ506489	ZAF	6	Culicoides sp.	-	GQ506489	GQ506489/ZAF/6
alignment/PHYLO_UNC_S2/member/ncbi-curated/GQ506507	ZAF	6	Ovis aries	1958	GQ506507	GQ506507/ZAF/6
alignment/PHYLO_UNC_S2/member/ncbi-curated/GQ506517	ZAF	6	Ovis aries	-	GQ506517	GQ506517/ZAF/6
alignment/PHYLO_UNC_S2/member/ncbi-curated/GQ506527	ZAF	6	Ovis aries	1958	GQ506527	GQ506527/ZAF/6
alignment/PHYLO_UNC_S2/member/ncbi-curated/GQ506537	USA	6	Bos taurus	2006	GQ506537	GQ506537/USA/6
alignment/PHYLO_UNC_S2/member/ncbi-curated/GU390659	TWN	12	Bos taurus	2003	GU390659	GU390659/TWN/12
alignment/PHYLO_UNC_S2/member/ncbi-curated/HM014236	IND	1	Capra hircus	2008	HM014236	HM014236/IND/1
alignment/PHYLO_UNC_S2/member/ncbi-curated/HM590642	KWT	26	Ovis aries	2010	HM590642	HM590642/KWT/26
alignment/PHYLO_UNC_S2/member/ncbi-curated/HQ222818	FRA	18	Bos taurus	2006	HQ222818	HQ222818/FRA/18
alignment/PHYLO_UNC_S2/member/ncbi-curated/HQ222819	FRA	22	Bos taurus	2006	HQ222819	HQ222819/FRA/22
alignment/PHYLO_UNC_S2/member/ncbi-curated/HQ222820	FRA	2	Bos taurus	2006	HQ222820	HQ222820/FRA/2
alignment/PHYLO_UNC_S2/member/ncbi-curated/HQ222821	FRA	10	Bos taurus	2006	HQ222821	HQ222821/FRA/10
alignment/PHYLO_UNC_S2/member/ncbi-curated/HQ222822	FRA	17	Bos taurus	2006	HQ222822	HQ222822/FRA/17
alignment/PHYLO_UNC_S2/member/ncbi-curated/HQ222823	FRA	24	Bos taurus	2006	HQ222823	HQ222823/FRA/24
alignment/PHYLO_UNC_S2/member/ncbi-curated/HQ222824	FRA	2	Bos taurus	2009	HQ222824	HQ222824/FRA/2
alignment/PHYLO_UNC_S2/member/ncbi-curated/HQ222825	FRA	17	Bos taurus	2010	HQ222825	HQ222825/FRA/17
alignment/PHYLO_UNC_S2/member/ncbi-curated/HQ241072	FRA	5	Bos taurus	2010	HQ241072	HQ241072/FRA/5
alignment/PHYLO_UNC_S2/member/ncbi-curated/JF343006	FRA	15	Ovis aries	-	JF343006	JF343006/FRA/15
alignment/PHYLO_UNC_S2/member/ncbi-curated/JF423934	ISR	8	Bos taurus	2010	JF423934	JF423934/ISR/8
alignment/PHYLO_UNC_S2/member/ncbi-curated/JF423935	ISR	8	Bos taurus	2010	JF423935	JF423935/ISR/8
alignment/PHYLO_UNC_S2/member/ncbi-curated/JF423936	ISR	8	Ovis aries	2010	JF423936	JF423936/ISR/8
alignment/PHYLO_UNC_S2/member/ncbi-curated/JF423937	ISR	8	Bos taurus	2010	JF423937	JF423937/ISR/8
alignment/PHYLO_UNC_S2/member/ncbi-curated/JF423938	ISR	8	Ovis aries	2010	JF423938	JF423938/ISR/8
alignment/PHYLO_UNC_S2/member/ncbi-curated/JF443155	IND	9	Ovis aries	2003	JF443155	JF443155/IND/9
alignment/PHYLO_UNC_S2/member/ncbi-curated/JF443156	IND	9	Ovis aries	2002	JF443156	JF443156/IND/9
alignment/PHYLO_UNC_S2/member/ncbi-curated/JF443157	IND	9	Ovis aries	2003	JF443157	JF443157/IND/9
alignment/PHYLO_UNC_S2/member/ncbi-curated/JF443167	IND	9	Ovis aries	2006	JF443167	JF443167/IND/9
alignment/PHYLO_UNC_S2/member/ncbi-curated/JF727655	IND	10	Ovis aries	2003	JF727655	JF727655/IND/10
alignment/PHYLO_UNC_S2/member/ncbi-curated/JF768738	IND	21	Ovis aries	2005	JF768738	JF768738/IND/21
alignment/PHYLO_UNC_S2/member/ncbi-curated/JN003580	MTQ	11	Bos taurus	2010	JN003580	JN003580/MTQ/11
alignment/PHYLO_UNC_S2/member/ncbi-curated/JN003581	MTQ	24	Ovis aries	2009	JN003581	JN003581/MTQ/24
alignment/PHYLO_UNC_S2/member/ncbi-curated/JN003582	MTQ	13	Ovis aries	2009	JN003582	JN003582/MTQ/13
alignment/PHYLO_UNC_S2/member/ncbi-curated/JN162682	ISR	24	Ovis aries	2010	JN162682	JN162682/ISR/24
alignment/PHYLO_UNC_S2/member/ncbi-curated/JN162683	ISR	24	-	2008	JN162683	JN162683/ISR/24
alignment/PHYLO_UNC_S2/member/ncbi-curated/JN162684	ISR	24	-	2008	JN162684	JN162684/ISR/24
alignment/PHYLO_UNC_S2/member/ncbi-curated/JN162685	ISR	24	-	2010	JN162685	JN162685/ISR/24
alignment/PHYLO_UNC_S2/member/ncbi-curated/JN162686	ISR	24	-	2010	JN162686	JN162686/ISR/24
alignment/PHYLO_UNC_S2/member/ncbi-curated/JN255863	ITA	2	Ovis aries	2000	JN255863	JN255863/ITA/2
alignment/PHYLO_UNC_S2/member/ncbi-curated/JN255873	ITA	2	Ovis aries	2000	JN255873	JN255873/ITA/2
alignment/PHYLO_UNC_S2/member/ncbi-curated/JN255883	ITA	4	Ovis aries	2003	JN255883	JN255883/ITA/4
alignment/PHYLO_UNC_S2/member/ncbi-curated/JN255893	ITA	4	Ovis aries	2003	JN255893	JN255893/ITA/4
alignment/PHYLO_UNC_S2/member/ncbi-curated/JN255903	ITA	9	Ovis aries	2003	JN255903	JN255903/ITA/9
alignment/PHYLO_UNC_S2/member/ncbi-curated/JN255913	ITA	9	Ovis aries	2000	JN255913	JN255913/ITA/9
alignment/PHYLO_UNC_S2/member/ncbi-curated/JN255923	ZAF	2	Ovis aries	-	JN255923	JN255923/ZAF/2
